Bond Code,Price,Net Change
PIBFR10YQ2030-10-22,95.34,0.00
PIBFR10YQ2033-12-14,92.91,-0.04
PIBFR10YS2028-05-31,98.51,0.00
PIBFR10YS2028-06-28,98.49,0.00
PIBFR10YS2028-08-09,98.75,0.12
PIBFR10YS2029-02-21,98.65,0.10
PIBFR10YS2029-03-21,98.39,0.03
PIBFR10YS2029-04-18,98.38,0.01
PIBFR10YS2029-05-30,98.19,0.00
PIBFR10YS2029-06-27,98.36,-0.06
PIBFR10YS2029-07-25,98.35,0.00
PIBFR10YS2029-08-22,98.57,0.00
PIBFR10YS2030-06-18,99.99,0.00
PIBFR10YS2031-11-04,95.48,0.00
PIBFR10YS2034-02-07,95.26,-0.16
PIBFR10YS2034-04-18,94.01,-0.09
PIBFR10YS2034-09-05,94.48,0.05
PIBFR10YS2034-10-03,94.02,0.05
PIBFR10YS2034-11-14,93.02,0.07
PIBFR10YS2034-12-12,92.73,0.11
PIBFR2YQ2025-02-09,99.93,0.00
PIBFR2YQ2025-04-06,99.83,0.01
PIBFR2YQ2025-09-21,99.43,0.00
PIBFR2YS2026-10-03,99.71,-0.01
PIBFR2YS2027-01-09,99.66,0.01
PIBFR3YQ2025-04-07,100.01,0.00
PIBFR3YQ2025-09-08,99.94,0.04
PIBFR3YQ2026-02-09,99.55,0.01
PIBFR3YQ2026-09-21,98.91,0.01
PIBFR3YQ2026-10-19,98.81,0.05
PIBFR3YQ2027-02-07,98.76,0.00
PIBFR5YQ2025-10-22,99.38,0.08
PIBFR5YS2025-06-18,100.33,-0.01
PIBFR5YS2026-05-06,99.61,-0.07
PIBFR5YS2027-11-17,98.48,0.00
PIBFR5YS2028-04-06,97.89,-0.04
PIBFR5YS2028-08-10,97.70,-0.11
PIBFR5YS2028-09-21,97.83,-0.03
PIBFR5YS2028-10-19,97.55,-0.03
PIBFR5YS2028-12-14,97.34,-0.03
PIBFR5YS2029-02-07,97.59,-0.11
PIBFR5YS2029-04-18,97.34,0.00
PIBFR5YS2029-06-27,96.71,-0.07
PIBFR5YS2029-09-05,97.53,-0.01
PIBFR5YS2029-10-03,97.30,-0.03
PIBFR5YS2029-11-14,97.33,0.00
PIBFR5YS2029-12-12,97.02,-0.01
PIBFR5YS2030-01-09,96.66,0.04
