,Issue Date,Maturity date,Coupon Frequency,AHL,ALFA,BMA,C&M,CEL,CMKA,ICON,IONE,,FMA
PIB-FRB-1,31-May-18,31-May-28,Half-Yearly,99.38,0,100.2,99.49,99.7,99.73,99.96,100.2,,99.82
PIB-FRB-2,28-Jun-18,28-Jun-28,Half-Yearly,99.26,0,100.21,99.49,99.75,99.73,100.09,100.22,,99.85
PIB-FRB-3,9-Aug-18,9-Aug-28,Half-Yearly,98.89,0,100.73,99.34,99.9,99.87,100.6,100.61,,100.06
PIB-FRB-4,21-Feb-19,21-Feb-29,Half-Yearly,98.63,0,100.97,99.15,99.9,99.84,100.42,100.82,,100.03
PIB-FRB-5,21-Mar-19,21-Mar-29,Half-Yearly,98.63,0,100.84,99.12,99.85,99.68,100.4,100.53,,99.92
PIB-FRB-6,18-Apr-19,18-Apr-29,Half-Yearly,98.54,0,100.74,98.81,99.7,99.66,100.39,100.53,,99.82
PIB-FRB-7,30-May-19,30-May-29,Half-Yearly,98.48,0,100.67,98.62,99.6,99.51,100.41,100.25,,99.68
PIB-FRB-8,27-Jun-19,27-Jun-29,Half-Yearly,98.37,0,100.85,98.61,99.7,99.67,100.58,100.43,,99.8
PIB-FRB-9,25-Jul-19,25-Jul-29,Half-Yearly,98.51,0,100.88,98.75,99.8,99.68,100.6,100.78,,99.92
PIB-FRB-10,22-Aug-19,22-Aug-29,Half-Yearly,99.54,0,100.89,98.91,100.05,99.98,100.62,100.44,,100.13
PIB-FRB-11,18-Jun-20,18-Jun-30,Half-Yearly,99.6,0,100.89,100.73,100.75,100.77,100.51,101,,100.73
PIB-FRB-12,22-Oct-20,22-Oct-25,Quarterly,99.89,0,99.99,99.97,99.95,99.96,99.94,97.47,,99.94
PIB-FRB-13,22-Oct-20,22-Oct-30,Quarterly,97.3,0,98.04,97.29,98.05,97.67,97.68,99.96,,97.75
PIB-FRB-14,6-May-21,6-May-26,Half-Yearly,100.1,0,100.19,100.18,100.15,100.16,100.1,100.12,,100.14
PIB-FRB-15,8-Sep-22,8-Sep-25,Quarterly,99.99,0,100,100,100,100,99.98,100,,100
PIB-FRB-16,4-Nov-21,4-Nov-31,Half-Yearly,97.01,0,97.42,97.46,97.63,97.42,97.42,97.62,,97.47
PIB-FRB-17,17-Nov-22,17-Nov-27,Half-Yearly,99.1,0,99.42,99.18,99.47,99.48,99.41,99.76,,99.39
PIB-FRB-18,9-Feb-23,9-Feb-26,Quarterly,99.97,0,99.98,99.93,99.94,99.94,100,99.95,,99.96
PIB-FRB-19,6-Apr-23,6-Apr-28,Half-Yearly,99.09,0,99.14,99.09,99.31,99.12,99.14,99.17,,99.13
PIB-FRB-20,10-Aug-23,10-Aug-28,Half-Yearly,98.88,0,98.97,98.43,98.76,98.76,99.04,98.89,,98.85
PIB-FRB-21,21-Sep-23,21-Sep-25,Quarterly,99.98,0,99.98,99.96,99.96,99.94,99.92,99.99,,99.96
PIB-FRB-22,21-Sep-23,21-Sep-26,Quarterly,99.39,0,99.84,99.84,99.79,99.89,99.73,99.69,,99.78
PIB-FRB-23,21-Sep-23,21-Sep-28,Half-Yearly,98.77,0,98.9,98.69,98.85,98.72,99,98.65,,98.79
PIB-FRB-24,19-Oct-23,19-Oct-26,Quarterly,99.29,0,99.77,99.67,99.72,99.66,99.72,99.6,,99.67
PIB-FRB-25,19-Oct-23,19-Oct-28,Half-Yearly,98.81,0,98.93,99.07,99.07,98.99,98.94,98.79,,98.95
PIB-FRB-26,14-Dec-23,14-Dec-28,Half-Yearly,98.62,0,98.83,98.74,98.89,98.7,98.88,98.72,,98.77
PIB-FRB-27,14-Dec-23,14-Dec-33,Half-Yearly,95.39,0,96.2,96.04,96.04,95.94,96.03,96.19,,96.05
PIB-FRB-28,7-Feb-24,7-Feb-29,Half-Yearly,98.59,0,98.87,98.45,98.59,98.59,98.7,98.58,,98.61
PIB-FRB-29,7-Feb-24,7-Feb-34,Half-Yearly,95.37,0,95.84,95.37,95.47,95.47,95.99,95.21,,95.5
PIB-FRB-30,18-Apr-24,18-Apr-29,Half-Yearly,98.67,0,98.95,98.95,98.95,98.67,98.66,98.62,,98.78
PIB-FRB-31,18-Apr-24,18-Apr-34,Half-Yearly,95.84,0,96.13,95.91,96.09,95.99,96.07,95.91,,95.99
PIB-FRB-32,27-Jun-24,27-Jun-29,Half-Yearly,98.6,0,98.74,98.59,98.75,98.63,98.75,98.68,,98.68
PIB-FRB-33,5-Sep-24,5-Sep-29,Half-Yearly,98.58,0,98.73,98.56,98.58,98.58,98.67,98.62,,98.61
PIB-FRB-34,5-Sep-24,5-Sep-34,Half-Yearly,95.46,0,95.98,95.68,95.61,95.77,95.98,95.94,,95.8
PIB-FRB-35,3-Oct-24,3-Oct-26,Half-Yearly,99.77,0,99.88,99.87,99.8,99.8,99.87,99.78,,99.82
PIB-FRB-36,3-Oct-24,3-Oct-29,Half-Yearly,98.54,0,98.7,98.52,98.7,98.53,98.64,98.61,,98.6
PIB-FRB-37,3-Oct-24,3-Oct-34,Half-Yearly,95.42,0,95.94,95.66,95.68,95.73,95.94,95.91,,95.78
PIB-FRB-38,7-Feb-24,7-Feb-27,Quarterly,99.33,0,99.66,99.62,99.4,99.52,99.6,98.8,,99.49
PIB-FRB-39,14-Nov-24,14-Nov-29,Half-Yearly,98.83,0,98.82,98.83,98.67,98.67,98.53,98.72,,98.74
PIB-FRB-40,14-Nov-24,14-Nov-34,Half-Yearly,95.43,0,95.99,95.78,95.95,95.74,95.89,95.94,,95.86
