Bond Code,Price,Net Change
PIBFR10YQ2030-10-22,95.46,0.03
PIBFR10YQ2033-12-14,93.26,-0.01
PIBFR10YS2028-05-31,98.98,-0.02
PIBFR10YS2028-06-28,98.96,-0.03
PIBFR10YS2028-08-09,98.84,0.02
PIBFR10YS2029-02-21,98.8,0.04
PIBFR10YS2029-03-21,98.69,0.06
PIBFR10YS2029-04-18,98.56,0.03
PIBFR10YS2029-05-30,98.22,-0.01
PIBFR10YS2029-06-27,98.57,0.16
PIBFR10YS2029-07-25,98.37,-0.01
PIBFR10YS2029-08-22,98.79,0.12
PIBFR10YS2030-06-18,100,0.01
PIBFR10YS2031-11-04,95.28,-0.03
PIBFR10YS2034-02-07,93.43,-0.05
PIBFR10YS2034-04-18,93.66,0.02
PIBFR10YS2034-09-05,92.88,0.09
PIBFR10YS2034-10-03,93.18,-0.21
PIBFR10YS2034-11-14,93.24,0.02
PIBFR10YS2034-12-12,93.17,0
PIBFR10YS2035-01-09,92.85,-0.04
PIBFR2YQ2025-04-06,99.98,0
PIBFR2YQ2025-09-21,99.66,0
PIBFR2YS2026-10-03,99.79,0.02
PIBFR2YS2027-01-09,99.89,-0.07
PIBFR3YQ2025-04-07,99.99,0
PIBFR3YQ2025-09-08,99.83,0
PIBFR3YQ2026-02-09,99.56,-0.01
PIBFR3YQ2026-09-21,99.18,0.04
PIBFR3YQ2026-10-19,99.1,-0.01
PIBFR3YQ2027-02-07,98.79,0.01
PIBFR5YQ2025-10-22,99.68,-0.01
PIBFR5YS2025-06-18,100.17,0.02
PIBFR5YS2026-05-06,99.72,-0.02
PIBFR5YS2027-11-17,98.68,-0.01
PIBFR5YS2028-04-06,97.76,-0.02
PIBFR5YS2028-08-10,97.47,0.01
PIBFR5YS2028-09-21,97.59,0.05
PIBFR5YS2028-10-19,97.43,0
PIBFR5YS2028-12-14,97.42,-0.02
PIBFR5YS2029-02-07,97.05,0.02
PIBFR5YS2029-04-18,97.06,0
PIBFR5YS2029-06-27,97.04,-0.01
PIBFR5YS2029-09-05,96.84,0
PIBFR5YS2029-10-03,96.86,-0.01
PIBFR5YS2029-11-14,97.41,0.01
PIBFR5YS2029-12-12,96.9,0.01
PIBFR5YS2030-01-09,96.81,-0.01
