,Issue Date,Maturity date,Coupon Frequency,AHL,ALFA,BMA,C&M,CEL,CMKA,ICON,IONE,,FMA
PIB-FRB-1,31-May-18,31-May-28,Half-Yearly,99.38,0,100.01,99.28,99.5,99.49,99.85,98.64,,99.5
PIB-FRB-2,28-Jun-18,28-Jun-28,Half-Yearly,99.25,0,101,99.23,99.6,99.5,100.1,98.6,,99.54
PIB-FRB-3,9-Aug-18,9-Aug-28,Half-Yearly,98.88,0,100.48,98.99,99.65,99.74,100.61,99.3,,99.63
PIB-FRB-4,21-Feb-19,21-Feb-29,Half-Yearly,98.58,0,100.54,98.79,99.53,99.55,100.4,99,,99.45
PIB-FRB-5,21-Mar-19,21-Mar-29,Half-Yearly,98.59,0,100.54,98.49,99.3,99.39,100.39,98.7,,99.27
PIB-FRB-6,18-Apr-19,18-Apr-29,Half-Yearly,98.51,0,100.53,98.48,99.25,99.37,100.39,98.55,,99.21
PIB-FRB-7,30-May-19,30-May-29,Half-Yearly,98.47,0,100.57,98.3,99.15,99.21,100.42,98.24,,99.11
PIB-FRB-8,27-Jun-19,27-Jun-29,Half-Yearly,98.36,0,100.75,98.28,98.9,99.21,100.6,98.2,,99.07
PIB-FRB-9,25-Jul-19,25-Jul-29,Half-Yearly,98.51,0,100.78,98.38,99.25,99.37,100.63,98.3,,99.23
PIB-FRB-10,22-Aug-19,22-Aug-29,Half-Yearly,99.51,0,100.76,98.52,99.8,99.82,100.6,99.62,,99.87
PIB-FRB-11,18-Jun-20,18-Jun-30,Half-Yearly,99.61,0,100.7,100.73,100.72,100.71,100.52,101.08,,100.68
PIB-FRB-12,22-Oct-20,22-Oct-25,Quarterly,99.86,0,100.1,100,99.99,100,99.92,99.55,,99.95
PIB-FRB-13,22-Oct-20,22-Oct-30,Quarterly,97.28,0,98.03,97.27,97.5,97.46,97.66,95.6,,97.43
PIB-FRB-14,6-May-21,6-May-26,Half-Yearly,100.12,0,100.32,100.18,100.23,100.18,100.1,100.15,,100.17
PIB-FRB-15,8-Sep-22,8-Sep-25,Quarterly,99.98,0,99.97,99.95,99.97,99.97,99.97,99.96,,99.97
PIB-FRB-16,4-Nov-21,4-Nov-31,Half-Yearly,96.98,0,97.49,97.18,97.49,97.33,96.98,97.39,,97.27
PIB-FRB-17,17-Nov-22,17-Nov-27,Half-Yearly,99.07,0,99.37,98.97,99.26,99.27,99.27,99.36,,99.25
PIB-FRB-18,9-Feb-23,9-Feb-26,Quarterly,99.74,0,99.81,99.83,99.86,99.84,99.86,99.82,,99.83
PIB-FRB-19,6-Apr-23,6-Apr-28,Half-Yearly,99.06,0,98.95,99.06,98.94,99.06,99.06,99.06,,99.04
PIB-FRB-20,10-Aug-23,10-Aug-28,Half-Yearly,98.74,0,98.79,98.43,98.59,98.89,98.91,98.7,,98.74
PIB-FRB-21,21-Sep-23,21-Sep-25,Quarterly,99.98,0,99.95,99.95,99.87,99.94,99.87,99.99,,99.94
PIB-FRB-22,21-Sep-23,21-Sep-26,Quarterly,99.35,0,99.7,99.69,99.6,99.67,99.72,99.69,,99.67
PIB-FRB-23,21-Sep-23,21-Sep-28,Half-Yearly,98.68,0,98.74,98.55,98.67,98.89,99.89,98.65,,98.73
PIB-FRB-24,19-Oct-23,19-Oct-26,Quarterly,99.26,0,99.65,99.67,99.6,99.66,99.71,99.6,,99.64
PIB-FRB-25,19-Oct-23,19-Oct-28,Half-Yearly,98.66,0,98.66,98.78,98.9,98.91,98.91,98.77,,98.8
PIB-FRB-26,14-Dec-23,14-Dec-28,Half-Yearly,98.6,0,98.6,98.46,98.46,98.87,98.87,98.45,,98.6
