Bond Code,Price,Net Change,,
PIBFR10YQ2030-10-22,95.52,0.00,,
PIBFR10YQ2033-12-14,93.30,0.00,,
PIBFR10YS2028-05-31,98.93,0.00,,
PIBFR10YS2028-06-28,98.91,0.00,,
PIBFR10YS2028-08-09,98.94,0.00,,
PIBFR10YS2029-02-21,98.83,0.00,,
PIBFR10YS2029-03-21,98.69,0.00,,
PIBFR10YS2029-04-18,98.56,0.00,,
PIBFR10YS2029-05-30,98.23,0.00,,
PIBFR10YS2029-06-27,98.52,0.00,,
PIBFR10YS2029-07-25,98.36,0.00,,
PIBFR10YS2029-08-22,98.93,0.00,,
PIBFR10YS2030-06-18,100.00,0.00,,
PIBFR10YS2031-11-04,95.46,0.00,,
PIBFR10YS2034-02-07,93.45,-0.06,,
PIBFR10YS2034-04-18,93.36,0.00,,
PIBFR10YS2034-09-05,93.16,-0.05,,
PIBFR10YS2034-10-03,93.04,0.00,,
PIBFR10YS2034-11-14,93.24,0.01,,
PIBFR10YS2034-12-12,93.20,0.01,,
PIBFR10YS2035-01-09,92.88,0.01,,
PIBFR10YS2035-04-17,92.90,0.00,,
PIBFR2YQ2025-09-21,99.68,0.01,,
PIBFR2YS2026-10-03,99.77,-0.01,,
PIBFR2YS2027-01-09,99.86,0.00,,
PIBFR3YQ2025-09-08,99.84,0.00,,
PIBFR3YQ2026-02-09,99.60,0.01,,
PIBFR3YQ2026-09-21,99.17,-0.02,,
PIBFR3YQ2026-10-19,99.12,0.00,,
PIBFR3YQ2027-02-07,98.81,0.01,,
PIBFR5YQ2025-10-22,99.70,0.00,,
PIBFR5YS2025-06-18,100.07,0.00,,
PIBFR5YS2026-05-06,99.73,0.00,,
PIBFR5YS2027-11-17,98.66,-0.01,,
PIBFR5YS2028-04-06,97.92,0.00,,
PIBFR5YS2028-08-10,97.46,0.01,,
PIBFR5YS2028-09-21,97.57,0.00,,
PIBFR5YS2028-10-19,97.61,0.00,,
PIBFR5YS2028-12-14,97.45,-0.01,,
PIBFR5YS2029-02-07,97.14,0.00,,
PIBFR5YS2029-04-18,97.36,0.00,,
PIBFR5YS2029-06-27,97.09,0.01,,
PIBFR5YS2029-09-05,96.87,-0.01,,
PIBFR5YS2029-10-03,96.95,0.02,,
PIBFR5YS2029-11-14,97.15,-0.04,,
PIBFR5YS2029-12-12,96.93,0.00,,
PIBFR5YS2030-01-09,96.85,0.00,,
PIBFR5YS2030-04-17,96.82,0.00,,
