Bond Code,Price,Net Change
PIBFR10YQ2030-10-22,95.34,0.06
PIBFR10YQ2033-12-14,94.60,-0.14
PIBFR10YS2028-05-31,98.61,0.05
PIBFR10YS2028-06-28,98.62,0.09
PIBFR10YS2028-08-09,98.66,-0.01
PIBFR10YS2029-02-21,98.52,-0.01
PIBFR10YS2029-03-21,98.47,0.11
PIBFR10YS2029-04-18,98.39,0.05
PIBFR10YS2029-05-30,98.19,-0.02
PIBFR10YS2029-06-27,98.62,0.15
PIBFR10YS2029-07-25,98.36,0.01
PIBFR10YS2029-08-22,98.50,-0.02
PIBFR10YS2030-06-18,99.97,0.02
PIBFR10YS2031-11-04,94.83,0.01
PIBFR10YS2034-02-07,95.90,-0.01
PIBFR10YS2034-04-18,93.54,0.08
PIBFR10YS2034-09-05,94.36,-0.05
PIBFR10YS2034-10-03,93.79,-0.08
PIBFR10YS2034-11-14,92.99,0.00
PIBFR2YQ2025-02-09,99.89,0.02
PIBFR2YQ2025-04-06,99.79,0.03
PIBFR2YQ2025-09-21,99.47,0.06
PIBFR2YS2026-10-03,99.69,-0.03
PIBFR3YQ2025-04-07,100.11,0.01
PIBFR3YQ2025-09-08,99.73,0.13
PIBFR3YQ2026-02-09,99.09,0.12
PIBFR3YQ2026-09-21,98.95,0.05
PIBFR3YQ2026-10-19,98.72,0.03
PIBFR3YQ2027-02-07,98.68,-0.09
PIBFR5YQ2025-10-22,99.30,0.05
PIBFR5YS2025-06-18,100.49,-0.02
PIBFR5YS2026-05-06,99.69,-0.05
PIBFR5YS2027-11-17,97.72,0.10
PIBFR5YS2028-04-06,97.70,-0.02
PIBFR5YS2028-08-10,97.87,0.01
PIBFR5YS2028-09-21,98.02,-0.01
PIBFR5YS2028-10-19,97.32,0.04
PIBFR5YS2028-12-14,97.40,0.00
PIBFR5YS2029-02-07,97.96,0.01
PIBFR5YS2029-04-18,96.93,0.00
PIBFR5YS2029-06-27,97.13,-0.06
PIBFR5YS2029-09-05,97.79,0.02
PIBFR5YS2029-10-03,97.48,0.00
PIBFR5YS2029-11-14,96.68,-0.01
