Tenor,Mid Rate,Change
1W,15.75,-0.16
2W,15.85,-0.22
1M,16.11,-0.10
2M,16.52,-0.06
3M,16.75,-0.09
4M,16.80,-0.06
6M,16.84,-0.04
9M,16.87,-0.03
1Y,16.90,-0.02
2Y,14.50,0.00
3Y,15.07,0.01
4Y,14.30,-0.02
5Y,13.98,0.02
6Y,13.85,0.01
7Y,13.75,0.00
8Y,13.61,-0.01
9Y,13.55,0.00
10Y,13.50,0.00
15Y,13.80,0.01
20Y,13.96,0.00
