T-Bill & PIB Revaluation Rates Fixing,,,,,,,,,
T-Bill & PIB Revaluation Rates,,,,,,,,,
Updated at 14:55:00 Dated 2022-04-06,,,,,,,,,
,,,,,,,,,
userid,BMA,C&M,CMKA,IONE,JSCM,MCPL,SCPL,VCPL,Avg
username,Natiq Shakeel,Muhammad Tariq,Fahad Siddiq,AliKazmi,Tariq Usman Bhatti,Kalim Anwer,Adnan Latif Khan,Muhammad Tariq,
0-7days,10.1,10.1,10.1,10.1,10.1,10,10,10.05,10.08
8-15days,10.45,10.45,10.45,10.5,10.45,10.5,10.65,10.45,10.47
16-30days,10.8,10.8,10.8,10.9,10.7,10.7,10.65,10.8,10.77
31-60days,11.65,11.7,11.7,11.65,11.7,11.7,11.8,11.6,11.68
61-90days,11.9,12,11.9,11.9,11.95,11.9,12.2,11.8,11.93
91-120days,12.4,12.4,12.4,12.4,12.5,12.4,12.5,12.35,12.42
121-180days,12.75,12.8,12.7,12.75,12.6,12.7,12.85,12.45,12.72
181-270days,12.8,12.9,12.75,12.8,12.75,12.85,12.75,12.55,12.78
271-365days,12.85,13,12.85,12.85,12.85,12.9,13,12.85,12.88
2years,12.75,12.7,12.7,12.75,12.7,12.7,12.9,12.7,12.72
3years,12.65,12.65,12.65,12.65,12.65,12.65,12.65,12.59,12.65
4years,12.55,12.55,12.55,12.55,12.55,12.55,12.6,12.49,12.55
5years,12.45,12.6,12.5,12.4,12.6,12.6,12.55,12.47,12.53
6years,12.3,12.4,12.4,12.3,12.4,12.4,12.5,12.39,12.38
7years,12.2,12.35,12.3,12.2,12.35,12.35,12.45,12.29,12.31
8years,12.15,12.25,12.25,12.15,12.3,12.25,12.35,12.23,12.24
9years,12.15,12.25,12.2,12.15,12.25,12.25,12.25,12.21,12.22
10years,12.2,12.3,12.2,12.2,12.2,12.3,12.2,12.19,12.22
15years,12.25,12.6,12.35,12.25,12.6,12.5,12.45,12.3,12.41
20years,12.4,12.8,12.5,12.4,12.9,12.6,12.55,12.45,12.55
