Tenor,Mid Rate,Change,,,
1W,11.26,0.07,,,
2W,11.18,0.00,,,
1M,11.26,0.01,,,
2M,11.31,0.05,,,
3M,11.34,0.03,,,
4M,11.35,0.04,,,
6M,11.37,0.05,,,
9M,11.44,0.09,,,
1Y,11.40,0.05,,,
2Y,11.66,0.15,,,
3Y,11.63,0.07,,,
4Y,12.15,0.04,,,
5Y,12.15,0.04,,,
6Y,12.24,0.13,,,
7Y,12.27,0.14,,,
8Y,12.34,0.17,,,
9Y,12.42,0.19,,,
10Y,12.50,0.22,,,
15Y,12.40,0.11,,,
20Y,12.42,0.13,,,
