Tenor,Mid Rate,Change
1W,15.16,-0.02
2W,15.20,0.00
1M,15.29,0.00
2M,15.60,0.01
3M,15.75,0.02
4M,15.78,0.02
6M,15.80,0.00
9M,15.85,0.00
1Y,15.90,0.00
2Y,12.85,-0.01
3Y,13.63,0.03
4Y,13.26,0.02
5Y,13.03,0.06
6Y,12.87,0.02
7Y,12.78,0.01
8Y,12.67,0.01
9Y,12.60,0.00
10Y,12.60,0.00
15Y,13.20,0.00
20Y,13.41,-0.01
