Tenor,Mid Rate,Change,,,
1W,11.08,-0.06,,,
2W,11.15,-0.08,,,
1M,11.15,-0.06,,,
2M,11.07,-0.01,,,
3M,10.98,-0.03,,,
4M,10.99,0.02,,,
6M,10.87,-0.02,,,
9M,10.89,-0.04,,,
1Y,10.82,-0.03,,,
2Y,10.93,-0.08,,,
3Y,11.08,-0.07,,,
4Y,11.26,-0.11,,,
5Y,11.31,-0.09,,,
6Y,11.56,-0.12,,,
7Y,11.78,-0.06,,,
8Y,11.99,-0.06,,,
9Y,12.15,-0.05,,,
10Y,12.23,-0.07,,,
15Y,12.58,-0.01,,,
20Y,12.57,-0.01,,,
