Tenor,Mid Rate,Change,,,
1W,10.97,0.00,,,
2W,11.01,0.10,,,
1M,10.99,0.19,,,
2M,10.91,0.19,,,
3M,10.85,0.18,,,
4M,10.86,0.18,,,
6M,10.82,0.15,,,
9M,10.89,0.16,,,
1Y,10.84,0.17,,,
2Y,11.08,0.29,,,
3Y,11.12,0.18,,,
4Y,11.30,0.10,,,
5Y,11.37,0.07,,,
6Y,11.59,0.14,,,
7Y,11.74,0.13,,,
8Y,11.83,0.12,,,
9Y,11.99,0.14,,,
10Y,12.10,0.16,,,
15Y,12.50,0.06,,,
20Y,12.50,0.06,,,
