Tenor,Mid Rate,Change
1W,15.09,-0.03
2W,14.65,-0.32
1M,13.80,-0.72
2M,12.54,-0.24
3M,12.08,-0.09
4M,12.03,-0.13
6M,11.94,-0.19
9M,11.96,-0.11
1Y,11.86,-0.06
2Y,11.94,0.03
3Y,12.06,0.01
4Y,12.09,0.02
5Y,12.10,0.02
6Y,12.07,0.02
7Y,12.04,-0.01
8Y,12.02,-0.02
9Y,12.01,-0.02
10Y,11.98,-0.02
15Y,11.98,-0.02
20Y,11.96,-0.04
