T-Bill & PIB Revaluation Rates Fixing,,,,,,,,,
T-Bill & PIB Revaluation Rates,,,,,,,,,
Updated at 14:05:00 Dated 2022-04-20,,,,,,,,,
,,,,,,,,,
userid,BMA,C&M,CMKA,IONE,JSCM,MCPL,SCPL,VCPL,Avg
0-7days,12.2,12.2,12.15,12.35,12.1,12.1,12.25,12.1,12.17
8-15days,12.25,12.25,12.25,12.4,12.2,12.15,12.35,12.23,12.26
16-30days,12.35,12.35,12.4,12.45,12.35,12.4,12.45,12.31,12.38
31-60days,12.47,12.45,12.5,12.48,12.5,12.5,12.5,12.59,12.49
61-90days,12.7,12.7,12.7,12.7,12.75,12.7,12.7,12.85,12.71
91-120days,13,13,13,13,13.05,13,13,13.05,13.01
121-180days,13.25,13.25,13.3,13.3,13.35,13.25,13.25,13.35,13.28
181-270days,13.3,13.3,13.3,13.25,13.35,13.3,13.2,13.31,13.29
271-365days,13.3,13.3,13.25,13.2,13.3,13.35,13.2,13.25,13.27
2years,12.95,13,12.95,12.9,12.95,12.95,12.75,12.95,12.94
3years,12.5,12.5,12.5,12.55,12.4,12.5,12.45,12.45,12.48
4years,12.3,12.3,12.3,12.3,12.27,12.3,12.15,12.21,12.28
5years,12.25,12.3,12.25,12.25,12.2,12.3,12.15,12.17,12.24
6years,12.15,12.2,12.15,12.2,12.05,12.2,12.1,12.15,12.16
7years,12.1,12.2,12.1,12.15,12.05,12.2,12.05,12.09,12.12
8years,12.1,12.15,12.1,12.1,12.05,12.15,12,12.03,12.09
9years,12.05,12.1,12.05,12.1,12.07,12.1,12,12.01,12.06
10years,12.05,12.1,12.05,12,12.05,12.1,12,12.01,12.04
15years,12.3,12.3,12.3,12.25,12.3,12.3,12.25,12.3,12.29
20years,12.5,12.5,12.5,12.5,12.6,12.5,12.5,12.55,12.51
