Tenor,Mid Rate,Change,,,
1W,11.03,-0.07,,,
2W,10.86,-0.24,,,
1M,10.81,-0.26,,,
2M,10.72,-0.23,,,
3M,10.62,-0.24,,,
4M,10.65,-0.18,,,
6M,10.61,-0.14,,,
9M,10.68,-0.11,,,
1Y,10.62,-0.08,,,
2Y,10.73,-0.04,,,
3Y,10.85,-0.06,,,
4Y,11.17,-0.02,,,
5Y,11.21,-0.03,,,
6Y,11.41,-0.01,,,
7Y,11.58,-0.01,,,
8Y,11.76,-0.01,,,
9Y,11.88,0.00,,,
10Y,11.98,0.00,,,
15Y,12.46,-0.01,,,
20Y,12.47,0.01,,,
