Tenor,Mid Rate,Change
1W,17.62,0.03
2W,17.60,0.01
1M,17.49,-0.02
2M,17.13,-0.13
3M,16.70,-0.21
4M,16.43,0.03
6M,15.97,-0.08
9M,15.70,-0.05
1Y,15.21,-0.29
2Y,13.78,-0.46
3Y,12.98,-0.75
4Y,13.23,-0.47
5Y,13.17,-0.45
6Y,13.19,-0.29
7Y,13.11,-0.23
8Y,13.05,-0.15
9Y,12.93,-0.11
10Y,12.87,-0.01
15Y,12.70,-0.08
20Y,12.62,-0.06
