Revaluation,Rates,for,T-Bills/PIBs/FIBs,Holding,APPLICABLE,FOR,27-Nov-23,,
,,,,,,,,,
Note:Updation,of,Page/RICs,depends,on,data,availablity,from,source.<ALERTPKRFIX>,Info
TENOR,AHL,ALFA,BCAP,BMA,C&M,CEL,CMKA,MCPL,FMAP
0-7days,22.3,22.1,22.4,22,22.4,22.25,22.4,22.3,22.29
,,,,,,,,,
8-15days,22.1,22,22,21.95,22,22,22,22,22
16-30days,22,21.8,21.9,21.9,22,21.9,22,22,21.95
31-60days,21.5,21.5,21.6,21.45,21.6,21.5,21.55,21.55,21.53
61-90days,21.15,21.3,21.25,21.2,21.2,21.2,21.2,21.2,21.21
,,,,,,,,,
91-120days,21.2,21.3,21.2,21.15,21.25,21.25,21.25,21.25,21.23
121-180days,21.2,21.3,21.25,21.2,21.25,21.25,21.25,21.25,21.24
181-270days,21.15,21.15,21.2,21.1,21.2,21.15,21.2,21.2,21.18
271-365days,21.1,21.1,21.1,21.1,21.1,21.1,21.1,21.1,21.1
,,,,,,,,,
2years,18.4,18.75,18.75,18.5,18.5,18.5,18.6,18.5,18.56
3years,16.65,16.55,16.6,16.65,16.55,16.55,16.55,16.55,16.58
4years,16.1,16.2,16,16,16,16,16,16,16.02
5years,16,16,15.7,15.85,15.9,15.85,15.9,15.85,15.89
,,,,,,,,,
6years,15.5,15.3,15.6,15.5,15.5,15.5,15.5,15.45,15.49
7years,15.4,15.25,15.4,15.35,15.35,15.35,15.35,15.3,15.35
8years,15.3,15.2,15.3,15.2,15.15,15.25,15.25,15.1,15.23
9years,15.2,15.2,15.2,15.1,15.05,15,15.1,15.08,15.12
,,,,,,,,,
10years,15.1,15.05,15.1,14.95,14.75,14.95,14.95,14.75,14.96
15years,15,15.05,15,14.8,14.5,14.8,14.75,14.5,14.81
20years,14.9,14.95,15,14.8,14.5,14.8,14.75,14.5,14.78
