Tenor,Mid Rate,Change
1W,15.12,0.00
2W,15.06,-0.01
1M,15.00,-0.02
2M,14.27,0.06
3M,13.42,-0.06
4M,13.49,-0.02
6M,13.48,-0.01
9M,13.34,0.00
1Y,13.13,0.01
2Y,12.90,-0.03
3Y,12.41,0.04
4Y,12.53,0.14
5Y,12.59,0.22
6Y,12.44,0.17
7Y,12.37,0.14
8Y,12.35,0.15
9Y,12.32,0.14
10Y,12.28,0.12
15Y,12.13,0.11
20Y,12.07,0.10
