Tenor,Mid Rate,Change,,,
1W,11.16,-0.10,,,
2W,11.15,-0.03,,,
1M,11.21,-0.05,,,
2M,11.32,0.01,,,
3M,11.36,0.02,,,
4M,11.40,0.05,,,
6M,11.46,0.09,,,
9M,11.50,0.06,,,
1Y,11.48,0.08,,,
2Y,11.69,0.03,,,
3Y,11.65,0.02,,,
4Y,12.17,0.02,,,
5Y,12.16,0.01,,,
6Y,12.26,0.02,,,
7Y,12.32,0.05,,,
8Y,12.36,0.02,,,
9Y,12.42,0.00,,,
10Y,12.50,0.00,,,
15Y,12.38,-0.02,,,
20Y,12.39,-0.03,,,
