Tenor,Mid Rate,Change,,,
1W,11.01,-0.12,,,
2W,10.95,-0.20,,,
1M,10.95,-0.20,,,
2M,10.96,-0.20,,,
3M,10.94,-0.23,,,
4M,10.99,-0.20,,,
6M,11.01,-0.18,,,
9M,11.10,-0.14,,,
1Y,11.10,-0.10,,,
2Y,11.21,-0.14,,,
3Y,11.28,-0.08,,,
4Y,11.58,-0.14,,,
5Y,11.59,-0.13,,,
6Y,11.73,-0.17,,,
7Y,11.90,-0.11,,,
8Y,12.02,-0.13,,,
9Y,12.14,-0.12,,,
10Y,12.25,-0.11,,,
15Y,12.25,-0.14,,,
20Y,12.36,-0.06,,,
