Tenor,Mid Rate,Change
1W,13.06,0.00
2W,12.54,-0.02
1M,12.35,0.04
2M,12.13,-0.01
3M,11.74,-0.02
4M,11.72,-0.05
6M,11.60,-0.10
9M,11.62,-0.11
1Y,11.50,-0.08
2Y,11.57,0.00
3Y,11.51,-0.01
4Y,12.09,-0.03
5Y,12.18,-0.01
6Y,12.19,0.01
7Y,12.16,-0.01
8Y,12.19,0.00
9Y,12.18,0.00
10Y,12.19,0.00
15Y,12.11,0.02
20Y,12.06,0.03
