Tenor,Mid Rate,Change,,,
1W,11.10,0.13,,,
2W,11.24,0.17,,,
1M,11.22,0.14,,,
2M,11.09,0.08,,,
3M,10.99,0.09,,,
4M,10.95,0.07,,,
6M,10.89,0.06,,,
9M,10.93,0.03,,,
1Y,10.86,0.04,,,
2Y,11.05,0.04,,,
3Y,11.17,0.02,,,
4Y,11.38,0.01,,,
5Y,11.42,0.02,,,
6Y,11.68,-0.01,,,
7Y,11.85,0.00,,,
8Y,12.06,0.01,,,
9Y,12.20,0.00,,,
10Y,12.31,-0.01,,,
15Y,12.59,0.01,,,
20Y,12.60,0.03,,,
