Tenor,Mid Rate,Change,,,
1W,11.04,0.07,,,
2W,11.05,0.04,,,
1M,11.01,0.02,,,
2M,10.91,0.00,,,
3M,10.87,0.02,,,
4M,10.88,0.02,,,
6M,10.87,0.05,,,
9M,10.92,0.03,,,
1Y,10.86,0.02,,,
2Y,11.05,-0.03,,,
3Y,11.11,-0.01,,,
4Y,11.30,0.00,,,
5Y,11.37,0.00,,,
6Y,11.59,0.00,,,
7Y,11.74,0.00,,,
8Y,11.83,0.00,,,
9Y,12.00,0.01,,,
10Y,12.11,0.01,,,
15Y,12.51,0.01,,,
20Y,12.49,-0.01,,,
