Revaluation,Rates,for,T-Bills/PIBs/FIBs,Holding,APPLICABLE,FOR,31-Jan-24,,,,
,,,,,,,,,,,
Note:Updation,of,Page/RICs,depends,on,data,availablity,from,source.<ALERTPKRFIX>,Info,,
TENOR,AHL,ALFA,BCAP,BMA,C&M,CEL,CMKA,MCPL,FMAP,,
0-7days,22.1,22,21.9,22,22,22,22,22,22,,
,,,,,,,,,,,
8-15days,21,21.5,21.4,21.15,21,21,21.1,21,21.11,,
16-30days,20.8,21,21,20.85,21,21,21,21,20.98,,
31-60days,20.6,20.5,20.8,20.8,20.75,20.9,20.75,20.7,20.73,,
61-90days,20.5,20.5,20.75,20.55,20.5,20.65,20.5,20.45,20.53,,
,,,,,,,,,,,
91-120days,20.75,20.8,21,20.7,20.8,20.8,20.75,20.75,20.78,,
121-180days,20.9,21,21.05,20.9,21,21,21,21,20.98,,
181-270days,21.1,21,21.1,21.1,21.1,21.2,21.1,21.05,21.09,,
271-365days,21.1,20.8,20.9,20.75,20.8,20.65,20.8,20.75,20.8,,
,,,,,,,,,,,
2years,17.7,17.5,17.8,17.6,17.6,17.65,17.6,17.5,17.61,,
3years,17.2,16.7,16.8,16.75,16.7,16.7,16.7,16.6,16.73,,
4years,16.25,16.35,16.2,16.3,16.4,16.3,16.35,16.35,16.32,,
5years,15.45,15.5,15.5,15.5,15.45,15.48,15.45,15.45,15.47,,
,,,,,,,,,,,
6years,15,15,15.2,15.15,15.15,15.15,15.15,15.15,15.13,,
7years,14.9,14.8,14.9,14.85,14.95,14.95,14.95,14.9,14.91,,
8years,14.8,14.7,14.7,14.75,14.75,14.75,14.75,14.75,14.74,,
9years,14.7,14.6,14.5,14.5,14.4,14.5,14.5,14.35,14.5,,
,,,,,,,,,,,
10years,14.1,14.4,14.3,14,14.15,14.2,14.2,14.15,14.18,,
15years,14,14.2,14.1,14.1,14,14.1,14.1,14,14.07,,
20years,14,14.1,14,14.1,14,14.05,14,14,14.03,,
