Tenor,Mid Rate,Change,,,
1W,11.18,0.07,,,
2W,11.11,0.02,,,
1M,11.08,0.02,,,
2M,10.95,0.01,,,
3M,10.89,0.01,,,
4M,10.86,0.00,,,
6M,10.79,0.01,,,
9M,10.80,0.05,,,
1Y,10.71,0.04,,,
2Y,10.80,0.03,,,
3Y,10.90,0.04,,,
4Y,11.12,0.06,,,
5Y,11.20,0.07,,,
6Y,11.45,0.00,,,
7Y,11.63,0.02,,,
8Y,11.83,0.02,,,
9Y,11.96,0.01,,,
10Y,12.03,-0.02,,,
15Y,12.51,0.00,,,
20Y,12.51,0.02,,,
