Tenor,Mid Rate,Change,,,
1W,11.00,-0.01,,,
2W,10.81,-0.18,,,
1M,10.81,-0.19,,,
2M,10.85,-0.09,,,
3M,10.78,-0.14,,,
4M,10.83,-0.10,,,
6M,10.82,-0.09,,,
9M,10.98,0.00,,,
1Y,10.89,-0.01,,,
2Y,11.04,-0.01,,,
3Y,11.08,-0.02,,,
4Y,11.35,0.02,,,
5Y,11.39,0.01,,,
6Y,11.60,0.00,,,
7Y,11.71,0.00,,,
8Y,11.81,0.00,,,
9Y,11.94,-0.01,,,
10Y,12.01,0.00,,,
15Y,12.46,0.00,,,
20Y,12.48,0.02,,,
