, GOP IJARAH SUKUK REVALUATION                                                   ,,,,,,,,,
 ,22-Aug-24,PK99999            PKISRV,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
DSPLY_NAME,MATUR_DATE,PRIMACT_1,PRIMACT_1,PRIMACT_1,PRIMACT_1,PRIMACT_1,PRIMACT_1,PRIMACT_1,PRIMACT_1,PRIMACT_1
SECURITY  ,MATURITY,  AHL     , ALFA     ,  C&M     ,  CEL     , ICON     ,IONE      ,  PCPL    ,  VCPL    ,AVG. RATE
GOPIS-VRR,20-Sep-24, -   , 100.02 , 100.00 , 100.00 , 100.30 , 100.25 , 100.20 , 100.00 , 100.09 
GOPIS-FRR,20-Sep-24, -   , 100.50 , 100.50 , 100.70 , 100.35 , 100.50 , 100.40 , 100.50 , 100.48 
GOPIS-VRR,9-Oct-24, -   , 100.40 , 100.33 , 100.30 , 100.30 , 100.50 , 100.70 , 100.30 , 100.37 
GOPIS-FRR,9-Oct-24, -   , 100.65 , 100.70 , 100.65 , 100.70 , 100.60 , 100.75 , 100.60 , 100.66 
GOPIS-VRR,4-Dec-24, -   , 100.80 , 100.70 , 100.70 , 100.70 , 100.80 , 100.70 , 100.80 , 100.74 
GOPIS-VRR,30-Apr-25, -   , 99.50 , 99.37 , 99.25 , 100.00 , 99.45 , 100.70 , 99.25 , 99.51 
GOPIS-VRR,29-May-25, -   , 99.75 , 100.00 , 100.20 , 100.50 , 99.60 , 100.70 , 99.70 , 100.03 
GOPIS-VRR,24-Jun-25, -   , 99.65 , 100.00 , 99.65 , 100.00 , 99.80 , 100.60 , 99.65 , 99.82 
GOPIS-VRR,29-Jul-25, -   , 101.25 , 101.75 , 101.75 , 101.25 , 101.10 , 102.40 , 100.50 , 101.42 
GOPIS-FRR,29-Jul-25, -   , 91.00 , 91.00 , 91.00 , 90.00 , 90.55 , 99.70 , 90.50 , 90.81 
GOPIS-VRR,9-Dec-25, -   , 101.00 , 100.85 , 100.60 , 100.90 , 100.50 , 101.10 , 100.85 , 100.84 
GOPIS-VRR,5-Jan-26, -   , 99.50 , 99.00 , 99.00 , 99.80 , 99.25 , 99.10 , 99.00 , 99.17 
GOPIS-FRR,20-Jan-26, -   , 92.00 , 89.00 , 89.00 , 91.00 , 90.00 , 89.30 , 88.75 , 89.66 
GOPIS-FRR,17-Apr-26, -   , 104.00 , 101.50 , 101.50 , 102.00 , 101.00 , 101.80 , 101.35 , 101.63 
GOPIS-FRR,26-Jun-26, -   , 105.50 , 106.00 , 105.00 , 104.50 , 103.47 , 103.20 , 105.00 , 104.69 
GOPIS-VRR,12-Jul-26, -   , 102.50 , 101.50 , 102.25 , 100.50 , 100.50 , 100.50 , 100.50 , 101.05 
GOPIS-VRR,6-Oct-26, -   , 102.00 , 102.00 , 102.10 , 101.90 , 101.85 , 101.90 , 102.00 , 101.96 
GOPIS-FRR,6-Oct-26, -   , 90.00 , 88.00 , 90.00 , 83.50 , 87.00 , 88.50 , 87.00 , 88.10 
GOPIS-VRR,29-Oct-26, -   , 103.50 , 102.00 , 103.00 , 101.00 , 102.00 , 101.50 , 101.50 , 102.00 
GOPIS-VRR,4-Dec-26, -   , 102.00 , 101.00 , 101.25 , 100.50 , 101.00 , 100.00 , 100.25 , 100.80 
GOPIS-FRR,4-Dec-26, -   , 102.00 , 101.00 , 102.00 , 100.90 , 100.00 , 100.85 , 99.25 , 100.95 
GOPIS-FRR,15-Dec-26, -   , 95.00 , 93.75 , 94.00 , 92.50 , 93.75 , 93.00 , 93.00 , 93.50 
GOPIS-VRR,27-Apr-27, -   , 104.00 , 103.00 , 104.25 , 103.00 , 102.70 , 102.70 , 102.70 , 103.08 
GOPIS-FRR,27-Apr-27, -   , 94.00 , 91.00 , 93.50 , 91.00 , 91.00 , 91.00 , 91.00 , 91.50 
GOPIS-VRR,26-Oct-27, -   , 102.75 , 102.50 , 104.00 , 102.00 , 102.50 , 101.75 , 102.25 , 102.40 
GOPIS-FRR,16-Nov-27, -   , 92.00 , 90.50 , 90.50 , 91.00 , 91.00 , 91.00 , 90.50 , 90.80 
GOPIS-VRR,26-Jun-28, -   , 104.50 , 106.00 , 106.25 , 104.00 , 103.10 , 103.20 , 103.25 , 104.19 
GOPIS-FRR,20-Sep-28, -   , 102.50 , 102.00 , 102.00 , 101.70 , 101.60 , 101.90 , 101.75 , 101.87 
GOPIS-VRR,4-Dec-28, -   , 105.25 , 105.00 , 105.25 , 105.00 , 104.00 , 104.75 , 105.00 , 105.00 
GOPIS-FRR,4-Dec-28, -   , 103.50 , 101.50 , 101.00 , 101.50 , 101.50 , 101.75 , 101.35 , 101.52 
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
