FMA Code,SBP Code,Price,Change
GOPIS-20-30-04-2025,GIS (VRR) -18,100.53,0.00
GOPIS-21-29-05-2025,GIS (VRR) -19,100.69,0.02
GOPIS-22-24-06-2025,GIS (VRR) -20,100.53,0.01
GOPIS-23-29-07-2025,GIS (VRR) -21,100.46,-0.55
GOPIS-24-29-07-2025,GIS (FRR) -04,98.42,0.01
GOPIS-25-09-12-2025,GIS (VRR) -22,100.73,0.01
GOPIS-26-20-01-2026,GIS (FRR) -07,97.56,0.01
GOPIS-27-06-10-2026,GIS (FRR) -08,96.61,0.00
GOPIS-28-06-10-2026,GIS (VRR) -23,102.15,0.02
GOPIS-29-29-10-2026,GIS (VRR) -24,101.88,0.05
GOPIS-30-15-12-2026,GIS (FRR) -11,101.15,0.00
GOPIS-31-27-04-2027,GIS (VRR) -25,103.39,-0.07
GOPIS-32-27-04-2027,GIS (FRR) -12,101.84,0.00
GOPIS-33-26-10-2027,GIS (VRR) - 26,102.96,0.05
GOPIS-34-16-11-2027,GIS (FRR) - 14,101.07,0.02
GOPIS-35-05-01-2026,GIS (VRR) - 27,100.58,0.01
GOPIS-43-17-04-2026,GIS (FRR) - 21,107.87,0.00
GOPIS-48-26-06-2026,GIS (FRR) - 24,109.94,0.00
GOPIS-54-12-07-2026,GIS (VRR) - 36,101.91,-0.02
GOPIS-55-26-06-2028,GIS (VRR) - 34,104.58,0.04
GOPIS-61-20-09-2028,GIS (FRR) - 31,111.49,0.04
GOPIS-65-04-12-2026,GIS (VRR) - 41,101.89,0.03
GOPIS-66-04-12-2028,GIS (VRR) - 42,104.12,0.01
GOPIS-67-04-12-2026,GIS (FRR) - 33,107.11,0.04
GOPIS-68-04-12-2028,GIS (FRR) - 34,111.80,0.42
