, GOP IJARAH SUKUK REVALUATION                                                   ,,,,,,,,,
 ,27-Sep-24,PK99999            PKISRV,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
DSPLY_NAME,MATUR_DATE,PRIMACT_1,PRIMACT_1,PRIMACT_1,PRIMACT_1,PRIMACT_1,PRIMACT_1,PRIMACT_1,PRIMACT_1,PRIMACT_1
SECURITY  ,MATURITY,  AHL     , ALFA     ,  C&M     ,  CEL     , ICON     ,IONE      ,  PCPL    ,  VCPL    ,AVG. RATE
GOPIS-VRR,9-Oct-24, 100.20 , 100.15 , -   , -   , 100.25 , 100.05 , 100.05 , 100.25 , 100.16 
GOPIS-FRR,9-Oct-24, 100.25 , 100.15 , -   , -   , 100.25 , 100.20 , 100.10 , 100.25 , 100.20 
GOPIS-VRR,4-Dec-24, 100.90 , 101.00 , -   , -   , 100.70 , 100.80 , 100.40 , 100.50 , 100.72 
GOPIS-VRR,30-Apr-25, 101.00 , 100.00 , -   , -   , 100.00 , 99.45 , 101.00 , 99.75 , 100.20 
GOPIS-VRR,29-May-25, 101.60 , 100.75 , -   , -   , 100.50 , 100.50 , 101.90 , 100.50 , 100.96 
GOPIS-VRR,24-Jun-25, 101.10 , 100.60 , -   , -   , 100.00 , 100.00 , 101.30 , 100.50 , 100.58 
GOPIS-VRR,29-Jul-25, 101.40 , 101.50 , -   , -   , 101.25 , 101.25 , 101.75 , 101.75 , 101.48 
GOPIS-FRR,29-Jul-25, 95.67 , 93.00 , -   , -   , 93.50 , 93.00 , 95.95 , 93.50 , 94.10 
GOPIS-VRR,9-Dec-25, 101.00 , 101.00 , -   , -   , 100.90 , 101.00 , 102.80 , 101.25 , 101.33 
GOPIS-VRR,5-Jan-26, 99.50 , 101.00 , -   , -   , 99.80 , 99.25 , 101.80 , 100.75 , 100.35 
GOPIS-FRR,20-Jan-26, 93.00 , 93.00 , -   , -   , 93.00 , 92.00 , 92.50 , 93.00 , 92.75 
GOPIS-FRR,17-Apr-26, 104.50 , 105.00 , -   , -   , 104.00 , 104.00 , 100.35 , 104.50 , 103.73 
GOPIS-FRR,26-Jun-26, 106.00 , 106.00 , -   , -   , 106.00 , 105.75 , 104.00 , 106.00 , 105.63 
GOPIS-VRR,12-Jul-26, 102.40 , 103.00 , -   , -   , 101.25 , 101.00 , 103.50 , 103.00 , 102.36 
GOPIS-VRR,6-Oct-26, 102.00 , 101.00 , -   , -   , 102.00 , 102.00 , 105.00 , 102.00 , 102.33 
GOPIS-FRR,6-Oct-26, 92.00 , 92.50 , -   , -   , 92.00 , 88.00 , 88.00 , 92.00 , 90.75 
