FMA Code,SBP Code,Price,Change
GOPIS-20-30-04-2025,GIS (VRR) -18,100.28,0.01
GOPIS-21-29-05-2025,GIS (VRR) -19,100.36,0.00
GOPIS-22-24-06-2025,GIS (VRR) -20,100.39,0.02
GOPIS-23-29-07-2025,GIS (VRR) -21,100.05,0.00
GOPIS-24-29-07-2025,GIS (FRR) -04,98.93,0.00
GOPIS-25-09-12-2025,GIS (VRR) -22,100.56,-0.03
GOPIS-26-20-01-2026,GIS (FRR) -07,98.24,-0.05
GOPIS-27-06-10-2026,GIS (FRR) -08,97.08,-0.07
GOPIS-28-06-10-2026,GIS (VRR) -23,101.46,-0.13
GOPIS-29-29-10-2026,GIS (VRR) -24,101.26,0.02
GOPIS-30-15-12-2026,GIS (FRR) -11,101.10,0.10
GOPIS-31-27-04-2027,GIS (VRR) -25,101.89,-0.04
GOPIS-32-27-04-2027,GIS (FRR) -12,101.76,0.00
GOPIS-33-26-10-2027,GIS (VRR) - 26,102.01,-0.07
GOPIS-34-16-11-2027,GIS (FRR) - 14,100.99,-0.23
GOPIS-35-05-01-2026,GIS (VRR) - 27,100.49,-0.01
GOPIS-43-17-04-2026,GIS (FRR) - 21,107.57,-0.07
GOPIS-48-26-06-2026,GIS (FRR) - 24,108.78,0.04
GOPIS-54-12-07-2026,GIS (VRR) - 36,101.72,0.05
GOPIS-55-26-06-2028,GIS (VRR) - 34,104.25,-0.15
GOPIS-61-20-09-2028,GIS (FRR) - 31,111.34,-0.36
GOPIS-65-04-12-2026,GIS (VRR) - 41,101.29,0.05
GOPIS-66-04-12-2028,GIS (VRR) - 42,103.06,0.15
GOPIS-67-04-12-2026,GIS (FRR) - 33,106.94,-0.11
GOPIS-68-04-12-2028,GIS (FRR) - 34,111.22,-0.02
