GOP Ijarah Sukuk Fixing,,,,,,,,,
GOP Ijarah Sukuk Rates,,,,,,,,,
Updated at 16:25:00 Dated 2022-01-10,,,,,,,,,
,,,,,,,,,
User,BMA,C&M,CMKA,IONE,JSCM,MCPL,SCPL,VCPL,Fma
GOPIS-20-30-04-2025,96.50,96.45,96.50,96.00,96.50,96.50,96.50,96.50,96.49
GOPIS-21-29-05-2025,100.20,100.15,100.20,100.25,100.20,100.20,99.95,100.20,100.19
GOPIS-22-24-06-2025,100.30,100.15,100.15,99.90,100.10,100.10,100.35,100.10,100.15
GOPIS-VRR-29-07-2025,100.10,100.00,100.00,100.10,100.00,99.90,100.00,99.90,100.00
GOPIS-FRR-29-07-2025,96.00,96.00,96.00,95.75,96.00,96.00,96.00,96.00,96.00
GOPIS-VRR-09-12-2025,100.20,100.15,100.20,100.15,100.20,100.20,100.25,100.20,100.19
GOPIS-FRR-20-01-2026,97.00,97.00,97.00,96.75,97.00,97.00,97.00,97.00,97.00
GOPIS-VRR-06-10-2026,99.10,99.10,99.10,99.15,99.10,99.10,99.25,99.10,99.11
GOPIS-FRR-06-10-2026,97.75,97.75,97.80,97.75,98.00,98.00,97.00,98.00,97.84
GOPIS-VRR-29-10-2026,99.40,99.35,99.40,99.30,99.25,99.45,99.40,99.45,99.38
GOPIS-FRR-15-12-2026,101.50,101.25,101.30,101.50,101.50,101.50,101.00,101.00,101.34
