GOP Ijarah Sukuk Fixing,,,,,,,,,
GOP Ijarah Sukuk Rates,,,,,,,,,
Updated at 16:25:00 Dated 2021-01-07,,,,,,,,,
,,,,,,,,,
User,BMA,C&M,CMKA,IONE,JSCM,MCPL,SCPL,VCPL,Fma
GOPIS-20-30-04-2025,96.1,95.95,96.2,95.9,95.9,95.9,95.8,95.92,95.95
GOPIS-21-29-05-2025,100.2,100.2,100.2,100.25,100.2,100.25,100.1,100.25,100.22
GOPIS-22-24-06-2025,100.3,100.3,100.3,100.3,100.3,100.3,100.1,100.25,100.29
GOPIS-VRR-29-07-2025,99.65,99.6,99.6,99.6,99.65,99.6,99.65,99.6,99.62
GOPIS-FRR-29-07-2025,99.55,99.5,99.5,99.5,99.5,99.5,98.75,99.5,99.5
GOPIS-VRR-09-12-2025,100.1,100.05,100.05,100.08,100.02,100.05,100.08,100.05,100.06
