0#PKISRV=,GOP,IJARAH,SUKUK,REVALUATION,Info,Page,:,<PKNOTES>,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
SECURITY,MATURITY,,AHL,ALFA,C&M,CEL,ICON,IONE,PCPL,VCPL,FMAP,DATE,TIME
,,,,,,,,,,,,,
GOPIS-VRR,26-Jun-24,,99.95,100,100,0,0,100.25,100.3,99.95,100.08,10-Jun-24,15:38
GOPIS-FRR,26-Jun-24,,100.7,99.93,100.3,0,0,99.95,99.95,100.1,100.16,10-Jun-24,15:38
GOPIS-VRR,12-Jul-24,,100.2,100.03,100.06,0,0,100.05,100.05,100,100.07,10-Jun-24,15:38
,,,,,,,,,,,,,
GOPIS-FRR,12-Jul-24,,100,100.03,100.05,0,0,100,100.05,100,100.02,10-Jun-24,15:38
GOPIS-VRR,7-Aug-24,,100,100,100.05,0,0,99.9,100,99.95,99.98,10-Jun-24,15:38
GOPIS-FRR,7-Aug-24,,100,100.05,100,0,0,100,100,100,100.01,10-Jun-24,15:38
GOPIS-VRR,20-Sep-24,,100,99.5,100,0,0,100,100,100,99.92,10-Jun-24,15:38
,,,,,,,,,,,,,
GOPIS-FRR,20-Sep-24,,100,100.45,100.4,0,0,100.35,100.4,100.25,100.31,10-Jun-24,15:38
GOPIS-VRR,9-Oct-24,,100.25,100.1,100.1,0,0,100.25,100.2,100.1,100.17,10-Jun-24,15:38
GOPIS-FRR,9-Oct-24,,100.75,100.55,100.75,0,0,100.6,100.75,100.7,100.68,10-Jun-24,15:38
GOPIS-VRR,4-Dec-24,,99.95,100.05,100.15,0,0,100,99.95,100,100.02,10-Jun-24,15:38
,,,,,,,,,,,,,
GOPIS-VRR,30-Apr-25,,98.9,99.5,99.25,0,0,99.45,99.45,99.25,99.3,10-Jun-24,15:38
GOPIS-VRR,29-May-25,,99.35,99.75,99.8,0,0,99.5,99.5,99.5,99.57,10-Jun-24,15:38
GOPIS-VRR,24-Jun-25,,99.2,99.65,99.8,0,0,99.75,99.8,99.75,99.66,10-Jun-24,15:38
GOPIS-VRR,29-Jul-25,,101,99.9,99.89,0,0,99.95,99.9,99.9,100.09,10-Jun-24,15:38
,,,,,,,,,,,,,
GOPIS-FRR,29-Jul-25,,83.02,89,86,0,0,85,85.25,85,85.55,10-Jun-24,15:38
GOPIS-VRR,9-Dec-25,,101,100,100.85,0,0,100.8,100.9,100.5,100.68,10-Jun-24,15:38
GOPIS-VRR,5-Jan-26,,99,99.5,99,0,0,99.2,99,99,99.12,10-Jun-24,15:38
GOPIS-FRR,20-Jan-26,,83,85,84,0,0,84,84,84,84,10-Jun-24,15:38
,,,,,,,,,,,,,
GOPIS-FRR,17-Apr-26,,98.5,100.5,100.5,0,0,100.35,100.45,100.25,100.09,10-Jun-24,15:38
GOPIS-FRR,26-Jun-26,,103.2,103,103,0,0,103,103,103,103.03,10-Jun-24,15:38
GOPIS-VRR,12-Jul-26,,100,100.25,100,0,0,100,100,100,100.04,10-Jun-24,15:38
GOPIS-VRR,6-Oct-26,,101,100,100.25,0,0,100.35,100.8,100.25,100.44,10-Jun-24,15:38
,,,,,,,,,,,,,
GOPIS-FRR,6-Oct-26,,83,84,84,0,0,84,84,84,83.83,10-Jun-24,15:38
GOPIS-VRR,29-Oct-26,,101.2,100.4,100.25,0,0,100.3,100.3,100.25,100.45,10-Jun-24,15:38
GOPIS-VRR,4-Dec-26,,99.65,99.6,99.75,0,0,99.6,99.6,99.6,99.63,10-Jun-24,15:38
GOPIS-FRR,4-Dec-26,,100.4,100,100,0,0,100.15,100.2,100,100.13,10-Jun-24,15:38
,,,,,,,,,,,,,
GOPIS-FRR,15-Dec-26,,85,88,88,0,0,88,87,87.5,87.25,10-Jun-24,15:38
GOPIS-VRR,27-Apr-27,,101.5,100.6,100.35,0,0,100.4,88.25,100.45,98.59,10-Jun-24,15:38
GOPIS-FRR,27-Apr-27,,87,89,88,0,0,88.5,100.75,88.5,90.29,10-Jun-24,15:38
GOPIS-VRR,26-Oct-27,,100.25,100.5,100.3,0,0,100.3,100.3,100.25,100.32,10-Jun-24,15:38
,,,,,,,,,,,,,
GOPIS-FRR,16-Nov-27,,87.5,88,89,0,0,89,89.9,88.75,88.69,10-Jun-24,15:38
GOPIS-VRR,26-Jun-28,,103.55,103,102.9,0,0,102.95,102.95,102.75,103.02,10-Jun-24,15:38
GOPIS-FRR,20-Sep-28,,101.75,101.75,101.5,0,0,101.6,101.75,101.75,101.68,10-Jun-24,15:38
GOPIS-VRR,4-Dec-28,,100,100,100.2,0,0,100.05,100.1,100,100.06,10-Jun-24,15:38
,,,,,,,,,,,,,
GOPIS-FRR,4-Dec-28,,100.6,100.5,100.5,0,0,100.5,100.5,100.5,100.52,10-Jun-24,15:38
