10:05 06MAY22    GOP Ijarah Sukuk Revaluation          PK99999            PKISRV,,,,,,,,,,
GOP IJARAH SUKUK:- <0#PKISRV=>                                                  ,,,,,,,,,,
,,,,,,,,,,
                 ,  BMA, C&M, CMK,  IONE,  JSCM, MCP,  SCPL, VCPL  ,Avg Rate,
,,,,,,,,,,
GOPIS 30-04-2025 ,96.60,96.65,0.00,97.00,98.00,96.20,96.60,0.00,96.84,
GOPIS 29-05-2025 ,100.00,100.00,0.00,99.75,99.00,100.05,99.80,0.00,99.77,
GOPIS 24-06-2025 ,100.00,100.00,0.00,99.50,99.00,100.00,99.75,0.00,99.71,
GOPISV-29-07-2025,99.60,99.47,0.00,99.00,99.00,99.90,99.00,0.00,99.33,
GOPISF-29-07-2025,94.40,94.30,0.00,94.00,94.25,94.50,93.00,0.00,94.08,
GOPISV-09-12-2025,99.60,99.60,0.00,99.25,98.50,99.75,99.50,0.00,99.37,
GOPISF-20-01-2026,94.20,94.20,0.00,94.00,94.00,94.50,93.80,0.00,94.12,
GOPISV-06-10-2026,99.90,99.90,0.00,100.00,99.25,99.90,98.75,0.00,99.62,
GOPISF-06-10-2026,94.50,94.35,0.00,94.25,94.25,94.50,94.00,0.00,94.31,
GOPISV-29-10-2026,99.80,100.10,0.00,99.50,99.75,99.95,100.20,0.00,99.88,
GOPISF-15-12-2026,99.50,99.55,0.00,99.00,98.50,99.70,99.00,0.00,99.21,
GOPISF-27-04-2027,100.00,100.00,0.00,100.00,99.50,100.05,100.00,0.00,99.93,
GOPISV-27-04-2027,100.00,99.90,0.00,99.50,100.00,100.10,99.75,0.00,99.88,
