GOP Ijarah Sukuk Fixing,,,,,,,,,
GOP Ijarah Sukuk Rates,,,,,,,,,
Updated at 14:55:00 Dated 2022-04-27,,,,,,,,,
,,,,,,,,,
User,BMA,C&M,CMKA,IONE,JSCM,MCPL,SCPL,VCPL,Fma
GOPIS-20-30-04-2025,96.30,96.20,96.20,96.25,97.50,96.20,96.60,96.30,96.31
GOPIS-21-29-05-2025,100.00,100.05,100.00,99.75,99.00,100.05,100.00,100.00,99.97
GOPIS-22-24-06-2025,100.00,100.00,100.00,99.50,99.00,100.00,100.00,100.00,99.92
GOPIS-VRR-29-07-2025,99.80,99.90,99.90,99.00,99.00,99.90,99.90,99.80,99.72
GOPIS-FRR-29-07-2025,94.50,94.50,94.55,94.00,94.00,94.50,94.75,94.75,94.47
GOPIS-VRR-09-12-2025,99.75,99.75,99.75,99.25,98.10,99.75,99.75,99.75,99.67
GOPIS-FRR-20-01-2026,94.50,94.50,94.40,94.00,94.00,94.50,94.00,94.25,94.28
GOPIS-VRR-06-10-2026,100.00,99.90,100.00,100.00,99.10,99.90,100.00,100.00,99.97
GOPIS-FRR-06-10-2026,94.50,94.50,94.50,94.25,94.15,94.50,94.50,94.50,94.46
GOPIS-VRR-29-10-2026,100.00,99.95,100.00,99.50,99.60,99.95,100.00,100.00,99.92
GOPIS-FRR-15-12-2026,99.80,99.70,99.70,99.00,99.50,99.70,100.00,99.90,99.72
GOPIS-FRR-27-04-2027,100.00,100.05,100.00,100.00,100.25,100.05,100.00,100.10,100.03
GOPIS-VRR-27-04-2027,100.10,100.10,100.00,100.00,100.20,100.10,100.00,100.10,100.07
