, GOP IJARAH SUKUK REVALUATION                                                   ,,,,,,,,,
 ,26-Aug-24,PK99999            PKISRV,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
DSPLY_NAME,MATUR_DATE,PRIMACT_1,PRIMACT_1,PRIMACT_1,PRIMACT_1,PRIMACT_1,PRIMACT_1,PRIMACT_1,PRIMACT_1,PRIMACT_1
SECURITY  ,MATURITY,  AHL     , ALFA     ,  C&M     ,  CEL     , ICON     ,IONE      ,  PCPL    ,  VCPL    ,AVG. RATE
GOPIS-VRR,20-Sep-24, 100.00 , 100.02 , 100.00 , -   , 100.30 , -   , 100.20 , 100.00 , 100.09 
GOPIS-FRR,20-Sep-24, 100.10 , 100.50 , 100.50 , -   , 100.35 , -   , 100.40 , 100.50 , 100.39 
GOPIS-VRR,9-Oct-24, 100.35 , 100.40 , 100.33 , -   , 100.30 , -   , 100.70 , 100.30 , 100.40 
GOPIS-FRR,9-Oct-24, 100.70 , 100.65 , 100.70 , -   , 100.70 , -   , 100.75 , 100.60 , 100.68 
GOPIS-VRR,4-Dec-24, 100.60 , 100.80 , 100.70 , -   , 100.70 , -   , 100.70 , 100.80 , 100.72 
GOPIS-VRR,30-Apr-25, 99.00 , 99.50 , 99.37 , -   , 100.00 , -   , 100.70 , 99.25 , 99.64 
GOPIS-VRR,29-May-25, 99.50 , 99.75 , 100.00 , -   , 100.50 , -   , 100.70 , 99.70 , 100.03 
GOPIS-VRR,24-Jun-25, 99.35 , 99.65 , 100.00 , -   , 100.00 , -   , 100.60 , 99.65 , 99.88 
GOPIS-VRR,29-Jul-25, 101.00 , 101.25 , 101.75 , -   , 101.25 , -   , 102.40 , 100.50 , 101.36 
GOPIS-FRR,29-Jul-25, 90.50 , 91.00 , 91.00 , -   , 90.00 , -   , 99.70 , 90.50 , 92.12 
GOPIS-VRR,9-Dec-25, 101.00 , 101.00 , 100.85 , -   , 100.90 , -   , 101.10 , 100.85 , 100.95 
GOPIS-VRR,5-Jan-26, 99.00 , 99.50 , 99.00 , -   , 99.80 , -   , 99.10 , 99.00 , 99.23 
GOPIS-FRR,20-Jan-26, 88.60 , 92.00 , 89.00 , -   , 91.00 , -   , 89.30 , 88.75 , 89.78 
GOPIS-FRR,17-Apr-26, 101.35 , 104.00 , 101.50 , -   , 102.00 , -   , 101.80 , 101.35 , 102.00 
GOPIS-FRR,26-Jun-26, 106.00 , 105.50 , 106.00 , -   , 104.50 , -   , 103.20 , 105.00 , 105.03 
GOPIS-VRR,12-Jul-26, 100.20 , 102.50 , 101.50 , -   , 101.25 , -   , 100.50 , 100.50 , 101.08 
GOPIS-VRR,6-Oct-26, 102.00 , 102.00 , 102.25 , -   , 101.90 , -   , 101.90 , 102.00 , 102.01 
GOPIS-FRR,6-Oct-26, 87.00 , 90.00 , 88.00 , -   , 83.50 , -   , 88.50 , 87.00 , 87.33 
GOPIS-VRR,29-Oct-26, 101.60 , 103.50 , 102.25 , -   , 101.00 , -   , 101.50 , 101.50 , 101.89 
GOPIS-VRR,4-Dec-26, 100.50 , 102.00 , 101.00 , -   , 100.50 , -   , 100.00 , 100.50 , 100.75 
GOPIS-FRR,4-Dec-26, 99.20 , 102.00 , 101.00 , -   , 100.90 , -   , 100.85 , 100.00 , 100.66 
GOPIS-FRR,15-Dec-26, 98.90 , 95.00 , 93.75 , -   , 92.50 , -   , 93.00 , 93.00 , 94.36 
GOPIS-VRR,27-Apr-27, 102.75 , 103.75 , 103.00 , -   , 103.00 , -   , 103.50 , 102.70 , 103.12 
GOPIS-FRR,27-Apr-27, 90.50 , 94.00 , 91.00 , -   , 91.00 , -   , 91.00 , 91.00 , 91.42 
GOPIS-VRR,26-Oct-27, 100.35 , 102.75 , 102.75 , -   , 102.00 , -   , 101.75 , 102.25 , 101.98 
GOPIS-FRR,16-Nov-27, 90.45 , 92.00 , 90.50 , -   , 91.00 , -   , 91.00 , 90.50 , 90.91 
GOPIS-VRR,26-Jun-28, 103.25 , 104.50 , 106.00 , -   , 104.00 , -   , 103.20 , 103.50 , 104.08 
GOPIS-FRR,20-Sep-28, 101.75 , 102.50 , 102.00 , -   , 101.70 , -   , 101.90 , 101.75 , 101.93 
GOPIS-VRR,4-Dec-28, 104.25 , 105.25 , 105.00 , -   , 105.00 , -   , 104.75 , 105.00 , 104.88 
GOPIS-FRR,4-Dec-28, 101.50 , 103.50 , 101.50 , -   , 101.50 , -   , 101.75 , 101.35 , 101.85 
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
