09:04 25APR22    GOP Ijarah Sukuk Revaluation          PK99999            PKISRV,,,,,,,,,,
GOP IJARAH SUKUK:- <0#PKISRV=>                                                  ,,,,,,,,,,
,,,,,,,,,,
                 ,  BMA, C&M, CMK,  IONE,  JSCM, MCP,  SCPL, VCPL  ,Avg Rate,
,,,,,,,,,,
GOPIS 30-04-2025 ,96.20,96.20,96.20,96.25,97.50,96.20,96.60,96.30,96.29,
GOPIS 29-05-2025 ,100.20,100.00,100.05,99.75,98.50,100.20,100.00,100.00,100.01,
GOPIS 24-06-2025 ,100.05,100.00,100.00,99.50,98.50,100.05,100.00,100.00,99.93,
GOPISV-29-07-2025,99.90,99.90,99.90,99.00,98.50,99.90,99.90,99.80,99.73,
GOPISF-29-07-2025,95.00,94.50,94.75,94.00,94.00,95.50,94.75,94.75,94.63,
GOPISV-09-12-2025,100.10,99.75,99.80,99.25,98.25,100.15,99.75,99.75,99.73,
GOPISF-20-01-2026,95.00,94.50,94.50,94.00,94.00,95.00,94.00,94.25,94.38,
GOPISV-06-10-2026,100.10,99.90,100.00,100.00,99.00,100.00,100.00,100.00,99.98,
GOPISF-06-10-2026,94.50,94.50,94.50,94.25,94.00,94.50,94.50,94.50,94.46,
GOPISV-29-10-2026,100.00,99.95,100.00,99.50,99.75,100.00,100.00,100.00,99.95,
GOPISF-15-12-2026,99.95,99.80,99.85,99.00,98.50,99.90,100.00,99.90,99.73,
