, GOP IJARAH SUKUK REVALUATION                                                   ,,,,,,,,,
 ,30-Sep-24,PK99999            PKISRV,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
DSPLY_NAME,MATUR_DATE,PRIMACT_1,PRIMACT_1,PRIMACT_1,PRIMACT_1,PRIMACT_1,PRIMACT_1,PRIMACT_1,PRIMACT_1,PRIMACT_1
SECURITY  ,MATURITY,  AHL     , ALFA     ,  C&M     ,  CEL     , ICON     ,IONE      ,  PCPL    ,  VCPL    ,AVG. RATE
GOPIS-VRR,9-Oct-24, 100.20 , 100.15 , 100.15 , 100.10 , 100.25 , 100.05 , -   , 100.25 , 100.17 
GOPIS-FRR,9-Oct-24, 100.12 , 100.15 , 100.20 , 100.10 , 100.25 , 100.20 , -   , 100.25 , 100.18 
GOPIS-VRR,4-Dec-24, 100.90 , 101.00 , 100.70 , 100.75 , 100.70 , 100.80 , -   , 100.75 , 100.78 
GOPIS-VRR,30-Apr-25, 101.00 , 100.00 , 100.20 , 100.00 , 100.00 , 99.45 , -   , 100.50 , 100.14 
GOPIS-VRR,29-May-25, 101.60 , 100.75 , 100.70 , 100.75 , 100.50 , 100.50 , -   , 101.00 , 100.74 
GOPIS-VRR,24-Jun-25, 101.10 , 101.00 , 100.50 , 100.60 , 100.00 , 100.00 , -   , 100.50 , 100.52 
GOPIS-VRR,29-Jul-25, 101.40 , 101.50 , 101.50 , 101.10 , 101.25 , 101.25 , -   , 101.75 , 101.38 
GOPIS-FRR,29-Jul-25, 95.53 , 96.00 , 95.75 , 95.88 , 94.00 , 93.00 , -   , 94.00 , 95.03 
GOPIS-VRR,9-Dec-25, 101.00 , 101.00 , 101.25 , 101.00 , 100.90 , 101.00 , -   , 101.25 , 101.05 
GOPIS-VRR,5-Jan-26, 100.66 , 101.00 , 100.50 , 100.75 , 99.80 , 99.25 , -   , 100.75 , 100.49 
GOPIS-FRR,20-Jan-26, 94.99 , 95.00 , 94.00 , 94.80 , 96.00 , 92.00 , -   , 93.25 , 94.41 
GOPIS-FRR,17-Apr-26, 106.32 , 107.00 , 107.00 , 105.00 , 108.00 , 104.00 , -   , 104.50 , 105.96 
GOPIS-FRR,26-Jun-26, 108.15 , 108.00 , 108.25 , 107.00 , 109.00 , 105.75 , -   , 108.50 , 107.98 
GOPIS-VRR,12-Jul-26, 102.40 , 103.00 , 102.00 , 103.00 , 101.25 , 101.00 , -   , 103.00 , 102.33 
GOPIS-VRR,6-Oct-26, 102.00 , 101.00 , 101.75 , 101.25 , 102.00 , 102.00 , -   , 102.00 , 101.80 
GOPIS-FRR,6-Oct-26, 94.14 , 94.00 , 94.50 , 93.00 , 95.00 , 88.00 , -   , 92.00 , 93.53 
GOPIS-VRR,29-Oct-26, 101.50 , 101.60 , 101.75 , 101.50 , 101.25 , 102.00 , -   , 102.00 , 101.67 
GOPIS-VRR,4-Dec-26, 101.50 , 101.50 , 101.50 , 101.75 , 101.50 , 101.50 , -   , 101.50 , 101.50 
GOPIS-FRR,4-Dec-26, 105.86 , 103.50 , 106.00 , 106.00 , 107.00 , 103.00 , -   , 103.50 , 104.97 
GOPIS-FRR,15-Dec-26, 96.70 , 98.25 , 97.75 , 97.00 , 98.00 , 98.25 , -   , 98.25 , 97.85 
GOPIS-VRR,27-Apr-27, 102.50 , 102.85 , 102.50 , 101.90 , 103.00 , 102.70 , -   , 103.00 , 102.71 
GOPIS-FRR,27-Apr-27, 98.68 , 99.50 , 99.50 , 98.50 , 98.00 , 91.00 , -   , 99.96 , 98.84 
GOPIS-VRR,26-Oct-27, 102.00 , 102.50 , 102.50 , 101.90 , 102.00 , 102.00 , -   , 103.00 , 102.20 
GOPIS-FRR,16-Nov-27, 98.69 , 99.00 , 99.00 , 98.65 , 98.50 , 91.00 , -   , 96.00 , 98.17 
GOPIS-VRR,26-Jun-28, 105.50 , 105.75 , 105.75 , 106.00 , 104.00 , 106.50 , -   , 106.50 , 105.90 
GOPIS-FRR,20-Sep-28, 109.94 , 110.00 , 108.00 , 109.00 , 108.00 , 101.60 , -   , 106.25 , 108.24 
GOPIS-VRR,4-Dec-28, 104.25 , 103.50 , 104.25 , 104.00 , 105.00 , 104.75 , -   , 105.00 , 104.45 
GOPIS-FRR,4-Dec-28, 108.60 , 104.00 , 108.60 , 108.50 , 107.00 , 104.00 , -   , 105.00 , 106.62 
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
