FMA Code,SBP Code,Price,Change,Date
GOPIS-20-30-04-2025,GIS (VRR) -18,99.39,-0.03,19-07-2024
GOPIS-21-29-05-2025,GIS (VRR) -19,99.73,0.06,19-07-2024
GOPIS-22-24-06-2025,GIS (VRR) -20,99.69,-0.01,19-07-2024
GOPIS-23-29-07-2025,GIS (VRR) -21,99.96,-0.01,19-07-2024
GOPIS-24-29-07-2025,GIS (FRR) -04,90.33,-0.17,19-07-2024
GOPIS-25-09-12-2025,GIS (VRR) -22,100.77,-0.03,19-07-2024
GOPIS-26-20-01-2026,GIS (FRR) -07,88.88,0.03,19-07-2024
GOPIS-27-06-10-2026,GIS (FRR) -08,86.98,0.00,19-07-2024
GOPIS-28-06-10-2026,GIS (VRR) -23,100.48,-0.05,19-07-2024
GOPIS-29-29-10-2026,GIS (VRR) -24,101.16,0.07,19-07-2024
GOPIS-30-15-12-2026,GIS (FRR) -11,89.85,0.03,19-07-2024
GOPIS-31-27-04-2027,GIS (VRR) -25,101.38,0.15,19-07-2024
GOPIS-32-27-04-2027,GIS (FRR) -12,90.24,0.05,19-07-2024
GOPIS-33-26-10-2027,GIS (VRR) - 26,100.90,0.12,19-07-2024
GOPIS-34-16-11-2027,GIS (FRR) - 14,90.41,0.02,19-07-2024
GOPIS-35-05-01-2026,GIS (VRR) - 27,99.13,-0.02,19-07-2024
GOPIS-43-17-04-2026,GIS (FRR) - 21,101.26,0.05,19-07-2024
GOPIS-48-26-06-2026,GIS (FRR) - 24,103.08,-0.01,19-07-2024
GOPIS-54-12-07-2026,GIS (VRR) - 36,100.29,0.04,19-07-2024
GOPIS-55-26-06-2028,GIS (VRR) - 34,103.03,-0.01,19-07-2024
GOPIS-56-07-08-2024,GIS (VRR) - 37,100.07,-0.01,19-07-2024
GOPIS-57-07-08-2024,GIS (FRR) - 28,100.03,0.01,19-07-2024
GOPIS-59-20-09-2024,GIS (VRR) - 38,100.02,-0.05,19-07-2024
GOPIS-60-20-09-2024,GIS (FRR) - 30,100.52,0.00,19-07-2024
GOPIS-61-20-09-2028,GIS (FRR) - 31,101.78,0.04,19-07-2024
GOPIS-62-09-10-2024,GIS (FRR) - 32,100.67,0.00,19-07-2024
GOPIS-63-09-10-2024,GIS (VRR) - 39,100.29,0.00,19-07-2024
GOPIS-64-04-12-2024,GIS (VRR) - 40,100.38,0.00,19-07-2024
GOPIS-65-04-12-2026,GIS (VRR) - 41,99.83,0.03,19-07-2024
GOPIS-66-04-12-2028,GIS (VRR) - 42,100.64,-0.02,19-07-2024
GOPIS-67-04-12-2026,GIS (FRR) - 33,99.80,0.12,19-07-2024
GOPIS-68-04-12-2028,GIS (FRR) - 34,101.17,0.07,19-07-2024
