FMA Code,SBP Code,Price,Change,,,,
GOPIS-25-09-12-2025,GIS (VRR) -22,100.19,0.00,,,As Per the SECP Direction 24 of 2024,
GOPIS-26-20-01-2026,GIS (FRR) -07,99.51,0.00,,,Tenor,PKISRV Rates (Yields)
GOPIS-27-06-10-2026,GIS (FRR) -08,99.03,-0.05,,,1 - Month,9.99%
GOPIS-28-06-10-2026,GIS (VRR) -23,100.62,-0.03,,,3 - Month,9.67%
GOPIS-29-29-10-2026,GIS (VRR) -24,100.63,-0.02,,,6 - Month,9.80%
GOPIS-30-15-12-2026,GIS (FRR) -11,101.34,0.00,,,9 - Month,10.02%
GOPIS-31-27-04-2027,GIS (VRR) -25,101.01,-0.07,,,1 - Year,11.02%
GOPIS-32-27-04-2027,GIS (FRR) -12,103.21,0.01,,,,
GOPIS-33-26-10-2027,GIS (VRR) - 26,101.05,-0.09,,,,
GOPIS-34-16-11-2027,GIS (FRR) - 14,102.88,-0.03,,,,
GOPIS-35-05-01-2026,GIS (VRR) - 27,100.22,0.01,,,,
GOPIS-43-17-04-2026,GIS (FRR) - 21,104.83,0.03,,,,
GOPIS-48-26-06-2026,GIS (FRR) - 24,106.08,0.00,,,,
GOPIS-54-12-07-2026,GIS (VRR) - 36,101.11,-0.02,,,,
GOPIS-55-26-06-2028,GIS (VRR) - 34,104.18,0.05,,,,
GOPIS-61-20-09-2028,GIS (FRR) - 31,114.12,-0.03,,,,
GOPIS-65-04-12-2026,GIS (VRR) - 41,100.61,0.00,,,,
GOPIS-66-04-12-2028,GIS (VRR) - 42,101.30,-0.05,,,,
GOPIS-67-04-12-2026,GIS (FRR) - 33,106.91,0.07,,,,
GOPIS-68-04-12-2028,GIS (FRR) - 34,113.23,-0.05,,,,
