0#PKISRV=,GOP,IJARAH,SUKUK,REVALUATION,Info,Page,:,<PKNOTES>,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
SECURITY,MATURITY,DT,AHL,ALFA,C&M,CEL,ICON,IONE,PCPL,VCPL,FMAP,DATE,TIME
,,,,,,,,,,,,,
GOPIS-VRR,26-Jun-24,,100,100.1,100.05,100.02,100.07,100.1,100.1,100,100.06,20-Jun-24,15:36
GOPIS-FRR,26-Jun-24,,100.7,100,100.3,100,100.05,100,100.2,100.3,100.14,20-Jun-24,15:36
GOPIS-VRR,12-Jul-24,,100.2,100.1,100.06,100.05,100.07,100.15,100.1,100.09,100.1,20-Jun-24,15:36
,,,,,,,,,,,,,
GOPIS-FRR,12-Jul-24,,100,100.08,100.05,100.07,100.07,100,100.05,100.05,100.05,20-Jun-24,15:36
GOPIS-VRR,7-Aug-24,,100.1,100.1,100.05,100.05,100.09,100.15,100.1,100,100.08,20-Jun-24,15:36
GOPIS-FRR,7-Aug-24,,100,100.1,100,100.05,100.02,100.1,100.05,100,100.04,20-Jun-24,15:36
GOPIS-VRR,20-Sep-24,,100,99.5,100,99.5,100.3,100.25,100,100,99.96,20-Jun-24,15:36
,,,,,,,,,,,,,
GOPIS-FRR,20-Sep-24,,100,100.7,100.4,100.05,100.35,100.5,100.35,100.4,100.34,20-Jun-24,15:36
GOPIS-VRR,9-Oct-24,,100.35,100.25,100.25,100.22,100.3,100.5,100.25,100.4,100.3,20-Jun-24,15:36
GOPIS-FRR,9-Oct-24,,100.75,100.7,100.65,100.65,100.7,100.6,100.7,100.75,100.69,20-Jun-24,15:36
GOPIS-VRR,4-Dec-24,,100.4,100.3,100.3,100.25,100.4,100.4,100.4,100.15,100.34,20-Jun-24,15:36
,,,,,,,,,,,,,
GOPIS-VRR,30-Apr-25,,98.95,99.5,99.25,99.2,100,99.45,99.4,99.25,99.34,20-Jun-24,15:36
GOPIS-VRR,29-May-25,,99.4,99.75,99.8,99.9,100.05,99.6,99.7,99.8,99.76,20-Jun-24,15:36
GOPIS-VRR,24-Jun-25,,99.25,99.65,99.8,100.4,100.2,99.8,99.8,99.8,99.84,20-Jun-24,15:36
GOPIS-VRR,29-Jul-25,,101,99.9,99.89,99.9,100.2,99.9,100.1,100,100,20-Jun-24,15:36
,,,,,,,,,,,,,
GOPIS-FRR,29-Jul-25,,83.02,89,86,89.15,86,85.6,86,86,86.43,20-Jun-24,15:36
GOPIS-VRR,9-Dec-25,,101,100.5,100.85,100.2,100.9,100.5,100.7,100.85,100.72,20-Jun-24,15:36
GOPIS-VRR,5-Jan-26,,99,99.5,99,99.5,99.8,99.25,99.3,99,99.26,20-Jun-24,15:36
GOPIS-FRR,20-Jan-26,,83,85,84,88.9,85.5,84,84.5,84,84.5,20-Jun-24,15:36
,,,,,,,,,,,,,
GOPIS-FRR,17-Apr-26,,98.5,100.5,100.5,101.5,100.7,100.4,100.5,100.5,100.52,20-Jun-24,15:36
GOPIS-FRR,26-Jun-26,,103.6,103.5,103.3,103.6,103.5,103.47,103.5,103.5,103.51,20-Jun-24,15:36
GOPIS-VRR,12-Jul-26,,100,100.25,100,100.3,100.5,100.5,100.2,100,100.21,20-Jun-24,15:36
GOPIS-VRR,6-Oct-26,,101,100,100.6,100,100.6,100.35,100.4,100.25,100.37,20-Jun-24,15:36
,,,,,,,,,,,,,
GOPIS-FRR,6-Oct-26,,83,84,84,85.5,83.5,84,84,84,83.92,20-Jun-24,15:36
GOPIS-VRR,29-Oct-26,,101.2,101.75,100.75,101.5,101,100.5,100.3,101,100.99,20-Jun-24,15:36
GOPIS-VRR,4-Dec-26,,99.65,100,99.75,99.8,100.2,99.75,99.8,99.75,99.81,20-Jun-24,15:36
GOPIS-FRR,4-Dec-26,,100.4,100.15,100,100,100.2,100,100.15,100,100.08,20-Jun-24,15:36
,,,,,,,,,,,,,
GOPIS-FRR,15-Dec-26,,85,88,88,88,87,88,88,87.5,87.75,20-Jun-24,15:36
GOPIS-VRR,27-Apr-27,,101.5,100.6,100.75,100.6,100.75,100.6,100.5,100.65,100.66,20-Jun-24,15:36
GOPIS-FRR,27-Apr-27,,87,89,88,89,89,88.5,88,88,88.42,20-Jun-24,15:36
GOPIS-VRR,26-Oct-27,,100.25,100.75,100.65,101,100.8,100.6,100.5,100.45,100.63,20-Jun-24,15:36
,,,,,,,,,,,,,
GOPIS-FRR,16-Nov-27,,87.5,88,89,88,88,89,88.75,88,88.29,20-Jun-24,15:36
GOPIS-VRR,26-Jun-28,,103.55,103,103.1,103,103.25,103.1,103.2,103,103.11,20-Jun-24,15:36
GOPIS-FRR,20-Sep-28,,101.75,101.5,101.75,101.5,101.7,101.6,101.75,101.65,101.66,20-Jun-24,15:36
GOPIS-VRR,4-Dec-28,,100,100,100.25,100.1,100.4,100.5,100.2,100.2,100.19,20-Jun-24,15:36
,,,,,,,,,,,,,
GOPIS-FRR,4-Dec-28,,101.5,101.5,100.75,101.25,101.25,101.79,101.5,100.75,101.29,20-Jun-24,15:36
