, GOP IJARAH SUKUK REVALUATION                                                   ,,,,,,,,,
 ,9-Dec-24,PK99999            PKISRV,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
DSPLY_NAME,MATUR_DATE,PRIMACT_1,PRIMACT_1,PRIMACT_1,PRIMACT_1,PRIMACT_1,PRIMACT_1,PRIMACT_1,PRIMACT_1,PRIMACT_1
SECURITY  ,MATURITY,  AHL     , ALFA     ,  C&M     ,  CEL     , ICON     ,IONE      ,  PCPL    ,  VCPL    ,AVG. RATE
GOPIS-VRR,30-Apr-25, 100.50 , 100.90 , 100.25 , 100.35 , 100.00 , 100.25 , -   , 100.50 , 100.37 
GOPIS-VRR,29-May-25, 100.90 , 101.00 , 100.90 , 101.00 , 101.00 , 101.00 , -   , 100.90 , 100.96 
GOPIS-VRR,24-Jun-25, 101.10 , 101.00 , 101.20 , 101.20 , 101.00 , 100.80 , -   , 101.00 , 101.06 
GOPIS-VRR,29-Jul-25, 102.32 , 102.50 , 102.15 , 102.40 , 102.50 , 103.25 , -   , 102.45 , 102.43 
GOPIS-FRR,29-Jul-25, 97.89 , 97.75 , 97.50 , 97.50 , 98.00 , 97.91 , -   , 98.00 , 97.81 
GOPIS-VRR,9-Dec-25, 101.20 , 101.00 , 101.00 , 101.00 , 100.90 , 101.00 , -   , 101.00 , 101.00 
GOPIS-VRR,5-Jan-26, 100.95 , 101.00 , 101.00 , 101.00 , 99.80 , 101.00 , -   , 100.95 , 100.98 
GOPIS-FRR,20-Jan-26, 96.86 , 95.00 , 95.00 , 95.50 , 96.00 , 95.00 , -   , 95.25 , 95.35 
GOPIS-FRR,17-Apr-26, 107.87 , 107.50 , 107.00 , 107.00 , 108.00 , 107.00 , -   , 107.75 , 107.42 
GOPIS-FRR,26-Jun-26, 109.40 , 110.00 , 108.50 , 108.15 , 109.00 , 110.00 , -   , 108.75 , 109.13 
GOPIS-VRR,12-Jul-26, 102.50 , 103.00 , 102.50 , 103.00 , 101.25 , 102.50 , -   , 102.75 , 102.65 
GOPIS-VRR,6-Oct-26, 101.60 , 102.35 , 101.60 , 102.50 , 101.50 , 102.25 , -   , 101.75 , 101.91 
GOPIS-FRR,6-Oct-26, 96.59 , 95.00 , 95.00 , 94.50 , 95.00 , 95.00 , -   , 95.25 , 95.05 
GOPIS-VRR,29-Oct-26, 102.50 , 102.50 , 102.00 , 102.50 , 102.50 , 102.00 , -   , 102.50 , 102.40 
GOPIS-VRR,4-Dec-26, 102.67 , 101.25 , 102.50 , 102.00 , 102.50 , 102.00 , -   , 102.50 , 102.30 
GOPIS-FRR,4-Dec-26, 106.72 , 107.00 , 106.50 , 106.50 , 107.00 , 106.50 , -   , 106.75 , 106.69 
GOPIS-FRR,15-Dec-26, 99.11 , 100.00 , 98.75 , 99.50 , 98.00 , 98.25 , -   , 99.00 , 98.92 
GOPIS-VRR,27-Apr-27, 102.50 , 102.75 , 102.75 , 102.75 , 103.00 , 103.00 , -   , 102.75 , 102.80 
GOPIS-FRR,27-Apr-27, 100.97 , 102.00 , 99.80 , 99.75 , 98.00 , 99.50 , -   , 100.25 , 100.05 
GOPIS-VRR,26-Oct-27, 102.70 , 103.00 , 102.75 , 102.75 , 102.50 , 103.00 , -   , 102.75 , 102.79 
GOPIS-FRR,16-Nov-27, 100.68 , 100.00 , 99.00 , 99.75 , 98.50 , 99.00 , -   , 99.75 , 99.50 
GOPIS-VRR,26-Jun-28, 107.00 , 106.00 , 105.75 , 106.00 , 104.00 , 106.00 , -   , 106.00 , 105.95 
GOPIS-FRR,20-Sep-28, 111.74 , 110.00 , 110.00 , 110.00 , 108.00 , 110.00 , -   , 110.25 , 110.05 
GOPIS-VRR,4-Dec-28, 104.25 , 102.50 , 103.50 , 104.00 , 105.00 , 103.55 , -   , 104.25 , 103.91 
GOPIS-FRR,4-Dec-28, 110.65 , 109.00 , 109.00 , 109.00 , 107.00 , 108.50 , -   , 109.25 , 108.95 
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
