GOP Ijarah Sukuk Fixing,,,,,,,,,
GOP Ijarah Sukuk Rates,,,,,,,,,
Updated at 16:25:00 Dated 2022-05-13,,,,,,,,,
,,,,,,,,,
User,BMA,C&M,CMKA,IONE,JSCM,MCPL,SCPL,VCPL,Fma
GOPIS-20-30-04-2025,97.00,96.88,0.00,97.00,97.50,97.00,96.60,96.70,96.92
GOPIS-21-29-05-2025,100.35,100.00,0.00,100.35,100.20,100.05,99.80,99.75,100.08
GOPIS-22-24-06-2025,99.75,99.70,0.00,99.50,99.00,100.00,99.75,99.75,99.69
GOPIS-VRR-29-07-2025,99.40,99.25,0.00,99.50,99.35,99.90,99.00,99.15,99.33
GOPIS-FRR-29-07-2025,94.00,94.00,0.00,94.00,91.00,94.50,93.00,93.75,93.75
GOPIS-VRR-09-12-2025,99.50,99.50,0.00,99.25,99.50,99.75,99.50,99.50,99.50
GOPIS-FRR-20-01-2026,94.10,94.00,0.00,94.00,92.00,94.50,93.80,93.75,93.93
GOPIS-VRR-06-10-2026,99.70,99.70,0.00,100.00,99.25,99.90,99.00,99.75,99.66
GOPIS-FRR-06-10-2026,94.25,94.20,0.00,94.25,91.50,94.50,94.00,93.75,94.09
GOPIS-VRR-29-10-2026,100.10,100.00,0.00,100.50,100.25,99.95,100.20,99.95,100.10
GOPIS-FRR-15-12-2026,96.50,96.40,0.00,96.00,96.00,96.50,96.25,96.25,96.28
GOPIS-FRR-27-04-2027,100.00,100.00,0.00,100.00,99.50,100.05,100.00,99.95,99.99
GOPIS-VRR-27-04-2027,99.90,99.92,0.00,99.85,99.90,100.10,99.86,99.95,99.91
