GOP Ijarah Sukuk Fixing,,,,,,,,,
GOP Ijarah Sukuk Rates,,,,,,,,,
Updated at 14:55:00 Dated 2022-04-05,,,,,,,,,
,,,,,,,,,
User,BMA,C&M,CMKA,IONE,JSCM,MCPL,SCPL,VCPL,Fma
GOPIS-20-30-04-2025,96.20,96.20,96.20,96.15,96.20,99.25,96.15,96.20,96.19
GOPIS-21-29-05-2025,100.20,100.20,100.20,100.00,100.10,100.20,100.00,100.20,100.15
GOPIS-22-24-06-2025,100.05,100.05,100.05,100.05,100.05,100.10,100.00,100.05,100.05
GOPIS-VRR-29-07-2025,99.95,99.90,99.90,99.95,99.90,99.80,99.80,99.90,99.89
GOPIS-FRR-29-07-2025,91.80,90.62,90.25,95.75,95.25,90.25,94.75,90.35,92.17
GOPIS-VRR-09-12-2025,100.20,100.15,100.15,100.00,100.10,100.50,99.90,100.10,100.12
GOPIS-FRR-20-01-2026,94.00,92.77,92.35,96.75,97.00,92.35,97.00,92.35,94.20
GOPIS-VRR-06-10-2026,99.90,99.90,99.80,99.30,100.00,99.60,100.10,99.65,99.81
GOPIS-FRR-06-10-2026,94.25,92.65,92.15,98.25,97.75,92.15,97.50,92.25,94.43
GOPIS-VRR-29-10-2026,99.90,99.95,99.90,99.85,100.00,99.75,100.00,99.90,99.92
GOPIS-FRR-15-12-2026,99.50,98.20,97.90,100.50,100.40,97.90,100.00,97.95,98.99
