, GOP IJARAH SUKUK REVALUATION                                                   ,,,,,,,,,
,28-Mar-24,PK99999            PKISRV,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
DSPLY_NAME,MATUR_DATE,PRIMACT_1,PRIMACT_1,PRIMACT_1,PRIMACT_1,PRIMACT_1,PRIMACT_1,PRIMACT_1,PRIMACT_1,PRIMACT_1
SECURITY,MATURITY,,ALFA,BCAP,BMA,C&M,CEL,CMKA,MCPK,AVG. RATE
GOPIS-VRR,17-Apr-24, 100.10 , -   , -   , 100.10 , 100.05 , 100.05 , 100.10 , 100.08 , 100.08 
GOPIS-FRR,17-Apr-24, 100.10 , -   , -   , 100.10 , 100.10 , 100.10 , 100.10 , 100.10 , 100.10 
GOPIS-VRR,22-May-24, 100.10 , -   , -   , 100.10 , 100.00 , 99.95 , 100.10 , 100.10 , 100.06 
GOPIS-FRR,22-May-24, 100.00 , -   , -   , 100.00 , 100.00 , 100.00 , 100.00 , 100.00 , 100.00 
GOPIS-VRR,26-Jun-24, 100.00 , -   , -   , 100.01 , 100.02 , 100.02 , 100.15 , 99.98 , 100.03 
GOPIS-FRR,26-Jun-24, 100.75 , -   , -   , 100.40 , 100.30 , 100.10 , 100.35 , 100.60 , 100.42 
GOPIS-VRR,12-Jul-24, 100.20 , -   , -   , 100.25 , 100.20 , 100.05 , 100.20 , 100.30 , 100.20 
GOPIS-FRR,12-Jul-24, 100.00 , -   , -   , 100.10 , 100.05 , 100.03 , 100.10 , 100.10 , 100.06 
GOPIS-VRR,7-Aug-24, 100.02 , -   , -   , 100.10 , 100.00 , 100.05 , 100.00 , 100.01 , 100.03 
GOPIS-FRR,7-Aug-24, 100.00 , -   , -   , 100.00 , 100.00 , 100.00 , 100.00 , 100.00 , 100.00 
GOPIS-VRR,20-Sep-24, 100.00 , -   , -   , 100.00 , 100.00 , 100.00 , 100.00 , 100.00 , 100.00 
GOPIS-FRR,20-Sep-24, 100.00 , -   , -   , 100.40 , 100.40 , 100.30 , 100.35 , 100.50 , 100.33 
GOPIS-VRR,9-Oct-24, 100.70 , -   , -   , 100.50 , 100.20 , 100.25 , 100.40 , 100.50 , 100.43 
GOPIS-FRR,9-Oct-24, 100.75 , -   , -   , 100.75 , 100.73 , 100.70 , 100.75 , 100.70 , 100.73 
GOPIS-VRR,4-Dec-24, 99.95 , -   , -   , 100.00 , 100.00 , 100.00 , 100.00 , 100.00 , 99.99 
GOPIS-VRR,30-Apr-25, 99.20 , -   , -   , 99.40 , 99.25 , 99.40 , 99.35 , 99.50 , 99.35 
GOPIS-VRR,29-May-25, 99.40 , -   , -   , 99.50 , 99.50 , 99.50 , 99.50 , 99.40 , 99.47 
GOPIS-VRR,24-Jun-25, 99.20 , -   , -   , 99.80 , 99.80 , 99.80 , 99.75 , 99.80 , 99.69 
GOPIS-VRR,29-Jul-25, 101.00 , -   , -   , 100.30 , 99.80 , 99.50 , 100.20 , 100.50 , 100.22 
GOPIS-FRR,29-Jul-25, 83.00 , -   , -   , 84.00 , 83.50 , 83.50 , 84.00 , 84.00 , 83.67 
GOPIS-VRR,9-Dec-25, 101.00 , -   , -   , 100.90 , 100.85 , 100.85 , 100.90 , 100.90 , 100.90 
GOPIS-VRR,5-Jan-26, 99.00 , -   , -   , 99.00 , 99.00 , 99.00 , 99.00 , 99.00 , 99.00 
GOPIS-FRR,20-Jan-26, 83.00 , -   , -   , 84.00 , 84.00 , 84.00 , 84.00 , 84.00 , 83.83 
GOPIS-FRR,17-Apr-26, 98.50 , -   , -   , 100.50 , 100.50 , 100.50 , 100.50 , 100.50 , 100.17 
GOPIS-FRR,26-Jun-26, 103.20 , -   , -   , 103.00 , 103.00 , 103.00 , 103.00 , 103.00 , 103.03 
GOPIS-VRR,12-Jul-26, 100.00 , -   , -   , 100.00 , 100.00 , 100.00 , 100.00 , 100.00 , 100.00 
GOPIS-VRR,6-Oct-26, 101.00 , -   , -   , 101.00 , 101.00 , 101.00 , 101.00 , 101.00 , 101.00 
GOPIS-FRR,6-Oct-26, 83.00 , -   , -   , 84.00 , 84.00 , 84.00 , 84.00 , 84.50 , 83.92 
GOPIS-VRR,29-Oct-26, 101.20 , -   , -   , 101.30 , 100.80 , 101.25 , 101.25 , 101.50 , 101.22 
GOPIS-VRR,4-Dec-26, 99.80 , -   , -   , 99.60 , 99.50 , 99.30 , 99.60 , 99.90 , 99.62 
GOPIS-FRR,4-Dec-26, 100.40 , -   , -   , 100.20 , 100.10 , 100.10 , 100.20 , 100.40 , 100.23 
GOPIS-FRR,15-Dec-26, 85.00 , -   , -   , 87.00 , 87.00 , 87.00 , 87.00 , 87.00 , 86.67 
GOPIS-VRR,27-Apr-27, 101.50 , -   , -   , 101.50 , 101.50 , 101.25 , 101.50 , 101.50 , 101.46 
GOPIS-FRR,27-Apr-27, 87.00 , -   , -   , 89.00 , 88.00 , 89.00 , 88.50 , 89.00 , 88.42 
GOPIS-VRR,26-Oct-27, 101.35 , -   , -   , 101.20 , 101.00 , 101.25 , 101.60 , 101.20 , 101.27 
GOPIS-FRR,16-Nov-27, 87.50 , -   , -   , 89.00 , 89.00 , 89.00 , 89.00 , 89.00 , 88.75 
GOPIS-VRR,26-Jun-28, 103.55 , -   , -   , 102.90 , 102.75 , 102.75 , 103.00 , 103.25 , 103.03 
GOPIS-FRR,20-Sep-28, 101.75 , -   , -   , 101.75 , 101.50 , 101.50 , 101.75 , 101.80 , 101.68 
GOPIS-VRR,4-Dec-28, 100.20 , -   , -   , 100.10 , 100.00 , 100.00 , 100.10 , 100.10 , 100.08 
GOPIS-FRR,4-Dec-28, 100.60 , -   , -   , 100.50 , 100.50 , 100.50 , 100.50 , 100.50 , 100.52 
