0#PKISRV=,GOP,IJARAH,SUKUK,REVALUATION,Info,Page,:,<PKNOTES>,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
SECURITY,MATURITY,DT,AHL,ALFA,C&M,CEL,ICON,IONE,PCPL,VCPL,FMAP,DATE,TIME
,,,,,,,,,,,,,
GOPIS-VRR,26-Jun-24,,99.95,100.05,100,0,100.01,100.5,0,100,100.09,11-Jun-24,15:38
GOPIS-FRR,26-Jun-24,,100.7,100,100.3,0,100.05,99.95,0,100.3,100.22,11-Jun-24,15:38
GOPIS-VRR,12-Jul-24,,100.2,100.07,100.06,0,100.03,100.25,0,100.06,100.11,11-Jun-24,15:38
,,,,,,,,,,,,,
GOPIS-FRR,12-Jul-24,,100,100.08,100.05,0,100.01,100,0,100.05,100.03,11-Jun-24,15:38
GOPIS-VRR,7-Aug-24,,100,100.05,100.05,0,100,100,0,100.05,100.03,11-Jun-24,15:38
GOPIS-FRR,7-Aug-24,,100,100.1,100,0,99.96,100,0,100,100.01,11-Jun-24,15:38
GOPIS-VRR,20-Sep-24,,100,99.5,100,0,99.9,100.5,0,100,99.98,11-Jun-24,15:38
,,,,,,,,,,,,,
GOPIS-FRR,20-Sep-24,,100,100.7,100.4,0,100.2,100.35,0,100.4,100.34,11-Jun-24,15:38
GOPIS-VRR,9-Oct-24,,100.25,100.25,100.2,0,100.1,100.5,0,100.1,100.23,11-Jun-24,15:38
GOPIS-FRR,9-Oct-24,,100.75,100.7,100.75,0,100.7,100.6,0,100.75,100.71,11-Jun-24,15:38
GOPIS-VRR,4-Dec-24,,100.15,100.25,100.15,0,100.15,100.5,0,100.15,100.23,11-Jun-24,15:38
,,,,,,,,,,,,,
GOPIS-VRR,30-Apr-25,,98.9,99.5,99.25,0,100,99.45,0,99.25,99.39,11-Jun-24,15:38
GOPIS-VRR,29-May-25,,99.35,99.75,99.8,0,99.5,99.6,0,99.8,99.63,11-Jun-24,15:38
GOPIS-VRR,24-Jun-25,,99.2,99.65,99.8,0,99.8,99.9,0,99.8,99.69,11-Jun-24,15:38
GOPIS-VRR,29-Jul-25,,101,99.9,99.89,0,100,100.25,0,99.89,100.16,11-Jun-24,15:38
,,,,,,,,,,,,,
GOPIS-FRR,29-Jul-25,,83.02,89,86,0,85.6,85,0,86,85.77,11-Jun-24,15:38
GOPIS-VRR,9-Dec-25,,101,100,100.85,0,100.5,101,0,100.85,100.7,11-Jun-24,15:38
GOPIS-VRR,5-Jan-26,,99,99.5,99,0,99.4,99.75,0,99,99.28,11-Jun-24,15:38
GOPIS-FRR,20-Jan-26,,83,85,84,0,85,84,0,84,84.17,11-Jun-24,15:38
,,,,,,,,,,,,,
GOPIS-FRR,17-Apr-26,,98.5,100.5,100.5,0,100.1,100.35,0,100.5,100.08,11-Jun-24,15:38
GOPIS-FRR,26-Jun-26,,103.2,103,103,0,102.5,103,0,103,102.95,11-Jun-24,15:38
GOPIS-VRR,12-Jul-26,,100,100.25,100,0,100.1,100.75,0,100,100.18,11-Jun-24,15:38
GOPIS-VRR,6-Oct-26,,101,100,100.25,0,100.3,100.55,0,100.25,100.39,11-Jun-24,15:38
,,,,,,,,,,,,,
GOPIS-FRR,6-Oct-26,,83,84,84,0,84,84,0,84,83.83,11-Jun-24,15:38
GOPIS-VRR,29-Oct-26,,101.2,101.5,100.4,0,100.15,101.25,0,100.3,100.8,11-Jun-24,15:38
GOPIS-VRR,4-Dec-26,,99.65,99.8,99.75,0,99.4,100.3,0,99.75,99.78,11-Jun-24,15:38
GOPIS-FRR,4-Dec-26,,100.4,100,100,0,100.3,100.15,0,100,100.14,11-Jun-24,15:38
,,,,,,,,,,,,,
GOPIS-FRR,15-Dec-26,,85,88,88,0,87.5,88,0,88,87.42,11-Jun-24,15:38
GOPIS-VRR,27-Apr-27,,101.5,100.6,100.45,0,100.5,100.75,0,100.45,100.71,11-Jun-24,15:38
GOPIS-FRR,27-Apr-27,,87,89,88,0,88,88.5,0,88,88.08,11-Jun-24,15:38
GOPIS-VRR,26-Oct-27,,100.25,101,100.45,0,100.4,100.5,0,100.45,100.51,11-Jun-24,15:38
,,,,,,,,,,,,,
GOPIS-FRR,16-Nov-27,,87.5,88,89,0,89,89,0,89,88.58,11-Jun-24,15:38
GOPIS-VRR,26-Jun-28,,103.55,103,103,0,102.5,103.1,0,102.9,103.01,11-Jun-24,15:38
GOPIS-FRR,20-Sep-28,,101.75,99.5,101.75,0,101.3,101.6,0,101.75,101.28,11-Jun-24,15:38
GOPIS-VRR,4-Dec-28,,100,100,100.2,0,100.2,100.75,0,100.2,100.23,11-Jun-24,15:38
,,,,,,,,,,,,,
GOPIS-FRR,4-Dec-28,,100.6,100.5,100.5,0,100.15,100.5,0,100.5,100.46,11-Jun-24,15:38
