FMA Code,SBP Code,Price,Change,,,,
GOPIS-20-30-04-2025,GIS (VRR) -18,100.04,-0.07,,,As Per the SECP Direction 24 of 2024,
GOPIS-21-29-05-2025,GIS (VRR) -19,100.15,-0.03,,,Tenor,PKISRV Rates (Yields)
GOPIS-22-24-06-2025,GIS (VRR) -20,100.15,-0.10,,,1 - Month,11.04%
GOPIS-23-29-07-2025,GIS (VRR) -21,99.94,-0.01,,,3 - Month,10.94%
GOPIS-24-29-07-2025,GIS (FRR) -04,99.01,0.01,,,6 - Month,11.73%
GOPIS-25-09-12-2025,GIS (VRR) -22,100.30,-0.05,,,9 - Month,11.03%
GOPIS-26-20-01-2026,GIS (FRR) -07,98.19,-0.06,,,1 - Year,11.37%
GOPIS-27-06-10-2026,GIS (FRR) -08,97.22,0.00,,,,
GOPIS-28-06-10-2026,GIS (VRR) -23,100.27,0.11,,,,
GOPIS-29-29-10-2026,GIS (VRR) -24,100.27,0.04,,,,
GOPIS-30-15-12-2026,GIS (FRR) -11,100.24,0.00,,,,
GOPIS-31-27-04-2027,GIS (VRR) -25,100.44,0.02,,,,
GOPIS-32-27-04-2027,GIS (FRR) -12,101.24,0.00,,,,
GOPIS-33-26-10-2027,GIS (VRR) - 26,100.53,0.03,,,,
GOPIS-34-16-11-2027,GIS (FRR) - 14,100.96,0.00,,,,
GOPIS-35-05-01-2026,GIS (VRR) - 27,100.24,0.00,,,,
GOPIS-43-17-04-2026,GIS (FRR) - 21,106.91,-0.01,,,,
GOPIS-48-26-06-2026,GIS (FRR) - 24,107.95,0.00,,,,
GOPIS-54-12-07-2026,GIS (VRR) - 36,101.18,0.00,,,,
GOPIS-55-26-06-2028,GIS (VRR) - 34,102.84,0.00,,,,
GOPIS-61-20-09-2028,GIS (FRR) - 31,111.73,0.00,,,,
GOPIS-65-04-12-2026,GIS (VRR) - 41,100.20,0.02,,,,
GOPIS-66-04-12-2028,GIS (VRR) - 42,100.39,0.01,,,,
GOPIS-67-04-12-2026,GIS (FRR) - 33,106.26,0.00,,,,
GOPIS-68-04-12-2028,GIS (FRR) - 34,110.99,0.00,,,,
