0#PKISRV=,GOP,IJARAH,SUKUK,REVALUATION,Info,Page,:,<PKNOTES>,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
SECURITY,MATURITY,DT,AHL,ALFA,C&M,CEL,ICON,IONE,PCPL,VCPL,FMAP,DATE,TIME
,,,,,,,,,,,,,
GOPIS-VRR,26-Jun-24,,100,0,100.05,100.02,100.07,100.1,100.1,100,100.05,25-Jun-24,15:36
GOPIS-FRR,26-Jun-24,,100.7,0,100.3,100,100.05,100,100.2,100.15,100.14,25-Jun-24,15:36
GOPIS-VRR,12-Jul-24,,100.2,0,100.06,100.05,100.07,100.15,100.1,100.1,100.1,25-Jun-24,15:36
,,,,,,,,,,,,,
GOPIS-FRR,12-Jul-24,,100,0,100.05,100.07,100.07,100,100.05,100.05,100.04,25-Jun-24,15:36
GOPIS-VRR,7-Aug-24,,100.1,0,100.02,100.02,100.09,100.15,100.1,100,100.07,25-Jun-24,15:36
GOPIS-FRR,7-Aug-24,,100,0,100,100.05,100.02,100.1,100.05,100,100.02,25-Jun-24,15:36
GOPIS-VRR,20-Sep-24,,100,0,100,99.5,100.3,100.25,100,100,100.05,25-Jun-24,15:36
,,,,,,,,,,,,,
GOPIS-FRR,20-Sep-24,,100,0,100.4,100.05,100.35,100.5,100.35,100.4,100.31,25-Jun-24,15:36
GOPIS-VRR,9-Oct-24,,100.35,0,100.25,100.22,100.3,100.5,100.25,100.3,100.29,25-Jun-24,15:36
GOPIS-FRR,9-Oct-24,,100.7,0,100.61,100.53,100.7,100.6,100.7,100.75,100.66,25-Jun-24,15:36
GOPIS-VRR,4-Dec-24,,100.4,0,100.3,100.25,100.4,100.4,100.35,100.3,100.35,25-Jun-24,15:36
,,,,,,,,,,,,,
GOPIS-VRR,30-Apr-25,,98.95,0,99.25,99.2,100,99.5,99.4,99.25,99.32,25-Jun-24,15:36
GOPIS-VRR,29-May-25,,99.4,0,99.8,99.9,100.05,99.6,99.7,99.75,99.75,25-Jun-24,15:36
GOPIS-VRR,24-Jun-25,,99.25,0,99.8,100.4,100.2,99.8,99.8,99.75,99.87,25-Jun-24,15:36
GOPIS-VRR,29-Jul-25,,101,0,99.89,99.9,100.2,99.9,100.1,100,100.02,25-Jun-24,15:36
,,,,,,,,,,,,,
GOPIS-FRR,29-Jul-25,,83.02,0,86,89.15,86,85.6,86,86,85.92,25-Jun-24,15:36
GOPIS-VRR,9-Dec-25,,101,0,100.85,100.2,100.9,100.5,100.7,100.85,100.76,25-Jun-24,15:36
GOPIS-VRR,5-Jan-26,,99,0,99,99.5,99.8,99.25,99.3,99,99.21,25-Jun-24,15:36
GOPIS-FRR,20-Jan-26,,83,0,84,88.9,85.5,84,84.5,84,84.4,25-Jun-24,15:36
,,,,,,,,,,,,,
GOPIS-FRR,17-Apr-26,,98.5,0,100.5,101.5,100.7,100.4,100.5,100.35,100.49,25-Jun-24,15:36
GOPIS-FRR,26-Jun-26,,103.6,0,103.5,103.6,103.5,103.47,103.5,103.5,103.52,25-Jun-24,15:36
GOPIS-VRR,12-Jul-26,,100,0,100.2,100.3,100.5,100.5,100.2,100,100.24,25-Jun-24,15:36
GOPIS-VRR,6-Oct-26,,101,0,100.6,100,100.6,100.35,100.4,100.35,100.46,25-Jun-24,15:36
,,,,,,,,,,,,,
GOPIS-FRR,6-Oct-26,,83,0,84,85.5,83.5,84,84,84,83.9,25-Jun-24,15:36
GOPIS-VRR,29-Oct-26,,101.2,0,101,101.5,101,100.5,100.5,101,100.94,25-Jun-24,15:36
GOPIS-VRR,4-Dec-26,,99.65,0,99.75,99.8,100.2,99.75,99.75,99.75,99.76,25-Jun-24,15:36
GOPIS-FRR,4-Dec-26,,100.4,0,100.1,100,100.2,100,100.15,100,100.09,25-Jun-24,15:36
,,,,,,,,,,,,,
GOPIS-FRR,15-Dec-26,,85,0,88,88,87,88,88,87.5,87.7,25-Jun-24,15:36
GOPIS-VRR,27-Apr-27,,101.5,0,100.75,100.6,100.75,100.6,100.5,100.65,100.67,25-Jun-24,15:36
GOPIS-FRR,27-Apr-27,,87,0,88,89,89,88.5,88,88,88.3,25-Jun-24,15:36
GOPIS-VRR,26-Oct-27,,100.25,0,100.65,101,100.8,100.6,100.5,100.45,100.6,25-Jun-24,15:36
,,,,,,,,,,,,,
GOPIS-FRR,16-Nov-27,,87.5,0,89,88,88,89,88.75,88,88.35,25-Jun-24,15:36
GOPIS-VRR,26-Jun-28,,103.55,0,103.1,103,103.25,103.1,103.2,103,103.13,25-Jun-24,15:36
GOPIS-FRR,20-Sep-28,,101.75,0,101.75,101.5,101.7,101.6,101.75,101.65,101.69,25-Jun-24,15:36
GOPIS-VRR,4-Dec-28,,100,0,100.25,100.1,100.4,100.5,100.2,100.2,100.23,25-Jun-24,15:36
,,,,,,,,,,,,,
GOPIS-FRR,4-Dec-28,,101.5,0,101.25,101.25,101.25,101.5,101.5,100.5,101.35,25-Jun-24,15:36
