GOP Ijarah Sukuk Fixing,,,,,,,,,
GOP Ijarah Sukuk Rates,,,,,,,,,
Updated at 14:55:00 Dated 2022-04-06,,,,,,,,,
,,,,,,,,,
User,BMA,C&M,CMKA,IONE,JSCM,MCPL,SCPL,VCPL,Fma
GOPIS-20-30-04-2025,0.00,96.20,96.20,0.00,96.20,99.25,96.15,96.20,96.70
GOPIS-21-29-05-2025,0.00,100.20,100.20,0.00,100.10,100.20,100.00,100.20,100.15
GOPIS-22-24-06-2025,0.00,100.05,100.05,0.00,100.00,100.10,100.00,100.05,100.04
GOPIS-VRR-29-07-2025,0.00,99.90,99.90,0.00,99.90,99.80,99.80,99.90,99.87
GOPIS-FRR-29-07-2025,0.00,90.62,95.00,0.00,95.25,95.75,93.50,95.00,94.19
GOPIS-VRR-09-12-2025,0.00,100.15,100.15,0.00,100.10,100.50,99.90,99.95,100.13
GOPIS-FRR-20-01-2026,0.00,92.77,92.35,0.00,97.00,94.10,95.00,96.75,94.66
GOPIS-VRR-06-10-2026,0.00,100.25,99.80,0.00,100.00,99.60,100.10,100.10,99.98
GOPIS-FRR-06-10-2026,0.00,92.65,92.15,0.00,97.75,94.15,95.00,97.00,94.78
GOPIS-VRR-29-10-2026,0.00,100.00,99.90,0.00,100.00,99.75,100.00,99.90,99.93
GOPIS-FRR-15-12-2026,0.00,98.20,97.90,0.00,100.00,100.00,99.00,100.00,99.18
