FMA Code,SBP Code,Price,Change
GOPIS-20-30-04-2025,GIS (VRR) -18,100.31,-0.02
GOPIS-21-29-05-2025,GIS (VRR) -19,100.95,0.00
GOPIS-22-24-06-2025,GIS (VRR) -20,101.05,-0.02
GOPIS-23-29-07-2025,GIS (VRR) -21,102.30,0.03
GOPIS-24-29-07-2025,GIS (FRR) -04,97.73,0.05
GOPIS-25-09-12-2025,GIS (VRR) -22,101.00,0.00
GOPIS-26-20-01-2026,GIS (FRR) -07,95.28,0.10
GOPIS-27-06-10-2026,GIS (FRR) -08,95.00,0.00
GOPIS-28-06-10-2026,GIS (VRR) -23,101.96,-0.06
GOPIS-29-29-10-2026,GIS (VRR) -24,102.38,0.06
GOPIS-30-15-12-2026,GIS (FRR) -11,98.83,-0.07
GOPIS-31-27-04-2027,GIS (VRR) -25,102.80,0.04
GOPIS-32-27-04-2027,GIS (FRR) -12,99.79,-0.02
GOPIS-33-26-10-2027,GIS (VRR) - 26,102.83,-0.02
GOPIS-34-16-11-2027,GIS (FRR) - 14,99.43,-0.09
GOPIS-35-05-01-2026,GIS (VRR) - 27,100.98,-0.01
GOPIS-43-17-04-2026,GIS (FRR) - 21,107.33,0.07
GOPIS-48-26-06-2026,GIS (FRR) - 24,108.65,0.08
GOPIS-54-12-07-2026,GIS (VRR) - 36,102.65,-0.03
GOPIS-55-26-06-2028,GIS (VRR) - 34,105.96,-0.04
GOPIS-61-20-09-2028,GIS (FRR) - 31,110.00,0.00
GOPIS-64-04-12-2024,GIS (VRR) - 40,100.31,-0.08
GOPIS-65-04-12-2026,GIS (VRR) - 41,102.54,-0.02
GOPIS-66-04-12-2028,GIS (VRR) - 42,104.07,0.09
GOPIS-67-04-12-2026,GIS (FRR) - 33,106.59,0.08
GOPIS-68-04-12-2028,GIS (FRR) - 34,108.91,-0.07
