FMA Code,SBP Code,Price,Change
GOPIS-20-30-04-2025,GIS (VRR) -18,100.58,-0.10
GOPIS-21-29-05-2025,GIS (VRR) -19,100.74,-0.22
GOPIS-22-24-06-2025,GIS (VRR) -20,100.69,-0.33
GOPIS-23-29-07-2025,GIS (VRR) -21,101.35,-0.74
GOPIS-24-29-07-2025,GIS (FRR) -04,98.08,0.00
GOPIS-25-09-12-2025,GIS (VRR) -22,100.77,-0.23
GOPIS-26-20-01-2026,GIS (FRR) -07,95.82,0.00
GOPIS-27-06-10-2026,GIS (FRR) -08,95.05,0.00
GOPIS-28-06-10-2026,GIS (VRR) -23,101.64,-0.45
GOPIS-29-29-10-2026,GIS (VRR) -24,101.88,-0.47
GOPIS-30-15-12-2026,GIS (FRR) -11,101.08,0.00
GOPIS-31-27-04-2027,GIS (VRR) -25,102.48,-0.87
GOPIS-32-27-04-2027,GIS (FRR) -12,101.20,0.00
GOPIS-33-26-10-2027,GIS (VRR) - 26,102.48,-0.41
GOPIS-34-16-11-2027,GIS (FRR) - 14,99.80,0.01
GOPIS-35-05-01-2026,GIS (VRR) - 27,100.67,-0.21
GOPIS-43-17-04-2026,GIS (FRR) - 21,107.47,0.00
GOPIS-48-26-06-2026,GIS (FRR) - 24,109.80,-0.01
GOPIS-54-12-07-2026,GIS (VRR) - 36,102.12,-0.53
GOPIS-55-26-06-2028,GIS (VRR) - 34,104.80,-1.10
GOPIS-61-20-09-2028,GIS (FRR) - 31,110.05,0.00
GOPIS-65-04-12-2026,GIS (VRR) - 41,101.52,-0.63
GOPIS-66-04-12-2028,GIS (VRR) - 42,103.06,-0.97
GOPIS-67-04-12-2026,GIS (FRR) - 33,106.66,0.00
GOPIS-68-04-12-2028,GIS (FRR) - 34,108.95,0.00
