, GOP IJARAH SUKUK REVALUATION                                                   ,,,,,,,,,
 ,1-Oct-24,PK99999            PKISRV,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
DSPLY_NAME,MATUR_DATE,PRIMACT_1,PRIMACT_1,PRIMACT_1,PRIMACT_1,PRIMACT_1,PRIMACT_1,PRIMACT_1,PRIMACT_1,PRIMACT_1
SECURITY  ,MATURITY,  AHL     , ALFA     ,  C&M     ,  CEL     , ICON     ,IONE      ,  PCPL    ,  VCPL    ,AVG. RATE
GOPIS-VRR,9-Oct-24, 100.20 , -   , 100.15 , -   , 100.25 , 100.05 , 100.05 , 100.50 , 100.20 
GOPIS-FRR,9-Oct-24, 100.13 , -   , 100.20 , -   , 100.25 , 100.20 , 100.08 , 100.20 , 100.18 
GOPIS-VRR,4-Dec-24, 100.90 , -   , 100.70 , -   , 100.70 , 100.80 , 100.25 , 101.00 , 100.73 
GOPIS-VRR,30-Apr-25, 101.00 , -   , 100.20 , -   , 100.00 , 99.45 , 101.05 , 100.50 , 100.37 
GOPIS-VRR,29-May-25, 101.60 , -   , 100.70 , -   , 100.50 , 100.50 , 101.80 , 101.50 , 101.10 
GOPIS-VRR,24-Jun-25, 101.10 , -   , 100.50 , -   , 100.00 , 100.00 , 101.10 , 101.00 , 100.62 
GOPIS-VRR,29-Jul-25, 101.40 , -   , 101.50 , -   , 101.25 , 101.25 , 100.75 , 101.75 , 101.32 
GOPIS-FRR,29-Jul-25, 95.55 , -   , 95.75 , -   , 94.00 , 93.00 , 96.20 , 96.50 , 95.17 
GOPIS-VRR,9-Dec-25, 101.00 , -   , 101.25 , -   , 100.90 , 101.00 , 102.70 , 101.50 , 101.39 
GOPIS-VRR,5-Jan-26, 100.66 , -   , 100.50 , -   , 99.80 , 99.25 , 101.85 , 101.25 , 100.55 
GOPIS-FRR,20-Jan-26, 95.01 , -   , 94.00 , -   , 96.00 , 92.00 , 95.75 , 95.00 , 94.63 
GOPIS-FRR,17-Apr-26, 106.32 , -   , 107.00 , -   , 108.00 , 104.00 , 107.20 , 107.00 , 106.59 
GOPIS-FRR,26-Jun-26, 108.15 , -   , 108.25 , -   , 109.00 , 105.75 , 108.00 , 108.50 , 107.94 
GOPIS-VRR,12-Jul-26, 102.40 , -   , 102.00 , -   , 101.25 , 101.00 , 105.10 , 103.50 , 102.54 
GOPIS-VRR,6-Oct-26, 102.00 , -   , 101.75 , -   , 102.00 , 102.00 , 107.00 , 102.50 , 102.88 
GOPIS-FRR,6-Oct-26, 94.18 , -   , 94.50 , -   , 95.00 , 88.00 , 94.25 , 95.00 , 93.49 
GOPIS-VRR,29-Oct-26, 101.50 , -   , 101.75 , -   , 101.25 , 102.00 , 101.75 , 102.00 , 101.71 
GOPIS-VRR,4-Dec-26, 101.50 , -   , 101.50 , -   , 101.50 , 101.50 , 105.60 , 101.50 , 102.18 
GOPIS-FRR,4-Dec-26, 105.90 , -   , 106.00 , -   , 107.00 , 103.00 , 105.75 , 106.00 , 105.61 
GOPIS-FRR,15-Dec-26, 96.72 , -   , 97.75 , -   , 98.00 , 98.25 , 98.00 , 98.75 , 97.91 
GOPIS-VRR,27-Apr-27, 102.50 , -   , 102.50 , -   , 103.00 , 102.70 , 109.00 , 103.00 , 103.78 
GOPIS-FRR,27-Apr-27, 98.72 , -   , 99.50 , -   , 98.00 , 91.00 , 99.80 , 100.00 , 97.84 
