10:03 28MAR22    GOP Ijarah Sukuk Revaluation          PK99999            PKISRV,,,,,,,,,,
GOP IJARAH SUKUK:- <0#PKISRV=>                                                  ,,,,,,,,,,
,,,,,,,,,,
                 ,  BMA, C&M, CMK,  IONE,  JSCM, MCP,  SCPL, VCPL  ,Avg Rate,
,,,,,,,,,,
GOPIS 30-04-2025 ,96.20,96.20,96.20,96.15,96.20,96.25,96.15,96.20,96.19,
GOPIS 29-05-2025 ,100.20,100.20,100.20,100.00,100.10,100.20,100.00,100.20,100.15,
GOPIS 24-06-2025 ,100.05,100.05,100.05,100.05,100.05,100.10,100.00,100.05,100.05,
GOPISV-29-07-2025,100.00,99.90,99.95,99.95,99.90,99.80,99.80,99.95,99.91,
GOPISF-29-07-2025,95.50,95.75,95.50,95.75,95.25,95.75,94.75,95.75,95.58,
GOPISV-09-12-2025,100.20,100.25,100.25,100.00,100.10,100.50,99.90,100.25,100.18,
GOPISF-20-01-2026,96.50,96.50,96.75,96.75,97.00,97.00,97.00,97.00,96.83,
GOPISV-06-10-2026,100.00,100.00,99.90,99.30,99.90,99.60,100.10,99.85,99.88,
GOPISF-06-10-2026,97.50,97.70,97.75,98.25,97.75,98.00,97.50,98.00,97.78,
GOPISV-29-10-2026,99.90,99.95,99.90,99.85,100.00,99.90,100.00,99.90,99.93,
GOPISF-15-12-2026,100.50,100.50,100.50,100.75,100.10,100.50,100.00,100.50,100.44,
