FMA Code,SBP Code,Price,Change
GOPIS-20-30-04-2025,GIS (VRR) -18,100.55,0.02
GOPIS-21-29-05-2025,GIS (VRR) -19,100.76,0.10
GOPIS-22-24-06-2025,GIS (VRR) -20,100.54,0.04
GOPIS-23-29-07-2025,GIS (VRR) -21,101.05,0.08
GOPIS-24-29-07-2025,GIS (FRR) -04,98.47,0.08
GOPIS-25-09-12-2025,GIS (VRR) -22,100.72,0.04
GOPIS-26-20-01-2026,GIS (FRR) -07,97.91,0.38
GOPIS-27-06-10-2026,GIS (FRR) -08,96.87,0.28
GOPIS-28-06-10-2026,GIS (VRR) -23,102.08,0.24
GOPIS-29-29-10-2026,GIS (VRR) -24,102.05,0.22
GOPIS-30-15-12-2026,GIS (FRR) -11,101.16,0.01
GOPIS-31-27-04-2027,GIS (VRR) -25,103.50,0.35
GOPIS-32-27-04-2027,GIS (FRR) -12,101.81,-0.03
GOPIS-33-26-10-2027,GIS (VRR) - 26,103.05,0.22
GOPIS-34-16-11-2027,GIS (FRR) - 14,101.28,0.23
GOPIS-35-05-01-2026,GIS (VRR) - 27,100.62,0.05
GOPIS-43-17-04-2026,GIS (FRR) - 21,107.85,-0.03
GOPIS-48-26-06-2026,GIS (FRR) - 24,109.95,-0.01
GOPIS-54-12-07-2026,GIS (VRR) - 36,101.92,-0.01
GOPIS-55-26-06-2028,GIS (VRR) - 34,104.75,0.12
GOPIS-61-20-09-2028,GIS (FRR) - 31,111.51,0.25
GOPIS-65-04-12-2026,GIS (VRR) - 41,101.76,0.36
GOPIS-66-04-12-2028,GIS (VRR) - 42,104.16,0.39
GOPIS-67-04-12-2026,GIS (FRR) - 33,107.02,0.05
GOPIS-68-04-12-2028,GIS (FRR) - 34,109.71,-0.38
