GOPIS-FRR,17-Apr-26, 101.35 , 104.00 , -   , 101.50 , 102.00 , 101.00 , 101.80 , 101.35 , 101.60 
GOPIS-FRR,26-Jun-26, 103.00 , 105.00 , -   , 103.50 , 103.50 , 103.47 , 103.20 , 103.00 , 103.33 
GOPIS-VRR,12-Jul-26, 100.20 , 102.50 , -   , 102.25 , 100.50 , 100.50 , 100.50 , 100.50 , 100.85 
GOPIS-VRR,6-Oct-26, 102.00 , 102.00 , -   , 102.10 , 101.90 , 101.85 , 101.90 , 102.00 , 101.96 
GOPIS-FRR,6-Oct-26, 87.00 , 90.00 , -   , 90.00 , 83.50 , 87.00 , 88.50 , 87.00 , 87.90 
GOPIS-VRR,29-Oct-26, 101.60 , 101.80 , -   , 102.50 , 101.00 , 102.00 , 101.50 , 101.50 , 101.68 
GOPIS-VRR,4-Dec-26, 100.50 , 101.50 , -   , 100.75 , 100.50 , 99.75 , 100.00 , 100.25 , 100.40 
GOPIS-FRR,4-Dec-26, 99.20 , 102.00 , -   , 101.00 , 100.90 , 100.00 , 100.85 , 99.25 , 100.40 
GOPIS-FRR,15-Dec-26, 98.90 , 93.00 , -   , 93.00 , 92.50 , 93.75 , 93.00 , 93.00 , 93.15 
GOPIS-VRR,27-Apr-27, 102.75 , 103.00 , -   , 103.10 , 102.75 , 102.70 , 102.70 , 102.70 , 102.78 
GOPIS-FRR,27-Apr-27, 90.50 , 94.00 , -   , 93.50 , 91.00 , 91.00 , 91.00 , 91.00 , 91.50 
GOPIS-VRR,26-Oct-27, 100.35 , 102.75 , -   , 103.10 , 102.00 , 102.50 , 101.75 , 102.25 , 102.25 
GOPIS-FRR,16-Nov-27, 90.45 , 92.00 , -   , 90.50 , 91.00 , 91.00 , 91.00 , 90.50 , 90.80 
GOPIS-VRR,26-Jun-28, 103.25 , 104.50 , -   , 106.25 , 103.00 , 103.10 , 103.20 , 103.25 , 103.46 
GOPIS-FRR,20-Sep-28, 101.75 , 102.50 , -   , 102.00 , 101.70 , 101.60 , 101.90 , 101.75 , 101.82 
GOPIS-VRR,4-Dec-28, 104.25 , 105.00 , -   , 105.25 , 104.00 , 104.00 , 103.00 , 105.00 , 104.45 
GOPIS-FRR,4-Dec-28, 101.50 , 103.50 , -   , 101.00 , 101.50 , 101.50 , 101.75 , 101.35 , 101.52 
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
