10:10,18-Oct-23,GOP,Ijarah,Sukuk,Revaluation,PK99999,PKISRV,,
,,,,,,,,,
GOP,IJARAH,SUKUK:-,<0#PKISRV=>,<PKNOTES>,Contd..<PKISRV1>,,,,
,AHL,ALFA,BCAP,BMA,C&M,CEL,CMKA,MCPL,Avg Rate
===============================================================================,,,,,,,,,
GOPISV-20-02-2024,100.15,100.2,100.1,100.2,100,100,0,100.1,100.11
GOPISF-20-02-2024,98,98,98.32,98,98,98,0,98,98
GOPISV-08-03-2024,101.6,101.6,101.65,101.65,101.6,101.55,0,101.65,101.62
GOPISF-08-03-2024,100.25,100.25,99.28,100,100.2,100.25,0,100.25,100.19
GOPISV-17-04-2024,101.3,101.3,101.2,101.25,101.3,101.3,0,101.25,101.28
GOPISF-17-04-2024,100.1,100.25,99.52,100,100.1,100.1,0,100.1,100.08
GOPISV-22-05-2024,100.5,101,100.75,100.6,100.95,101,0,100.5,100.76
GOPISF-22-05-2024,100,99.8,99.36,100,100,100,0,100,99.96
GOPISV-26-06-2024,100.3,99.5,99.22,100.25,100.2,100.3,0,100.3,100.11
GOPISF-26-06-2024,100.2,100.4,100.3,100.2,100.25,100.25,0,100.2,100.24
GOPISV-12-07-2024,100.4,100.5,100.3,100.4,100.35,100.45,0,100.3,100.38
GOPISF-12-07-2024,100,99.8,99.69,99,100,100.1,0,100,99.9
GOPISV-07-08-2024,101,101.4,100.9,101.35,101.3,101.3,0,101,101.19
GOPISF-07-08-2024,100,100,99.58,100,100,100,0,100,100
GOPISV-20-09-2024,99.99,99.95,99.9,100,100,100,0,100,99.99
GOPISF-20-09-2024,100,100.25,100.32,100,100,100,0,100,100.05
GOPISV-09-10-2024,100.3,100.45,100.42,100.35,100.4,100.45,0,100.36,100.4
GOPISF-09-10-2024,100.05,100.3,100.01,100.4,100.25,100.5,0,100.4,100.28
GOPISV-30-04-2025,96.5,96.5,96.45,96.45,96.5,96.5,0,96.45,96.48
GOPISV-29-05-2025,99.4,99.4,99.4,99.4,99.4,99.4,0,99.4,99.4
GOPISV-24-06-2025,99.2,99.15,99.1,99.15,99.1,99,0,99.1,99.12
GOPISV-29-07-2025,99.5,99.45,99.45,99.45,99.45,99.4,0,99.45,99.45
GOPISF-29-07-2025,83,82.27,83.35,83,83.75,85.75,0,85.75,83.77
GOPISV-09-12-2025,99.7,99.7,99.7,99.7,99.7,99.75,0,99.7,99.7
GOPISV-05-01-2026,99,99,99,99,99,99,0,99,99
GOPISF-20-01-2026,83,81.7,82.44,85,85.5,88,0,88,84.79
GOPISF-17-04-2026,98.5,97.57,98.92,98,100,100,0,100,99.08
GOPISF-26-06-2026,99.57,98.85,100.5,99.9,99.9,100.25,0,99.9,99.9
GOPISV-12-07-2026,100,100,100,100.75,100,100,0,100,100
GOPISV-06-10-2026,99.4,99.35,99.45,99.4,99.4,99.5,0,99.45,99.42
GOPISF-06-10-2026,83,89,81.53,84,87,89,0,89,86.4
GOPISV-29-10-2026,99.2,99.25,99.25,99.25,99.2,99.15,0,99.25,99.23
GOPISF-15-12-2026,85,87.5,85.19,83.5,88,90.25,0,90.25,87.19
GOPISV-27-04-2027,99.5,99.35,99.35,99.35,99.35,99.45,0,92.35,99.37
GOPISF-27-04-2027,87,85.9,88.39,89,91.75,92.35,0,99.4,89.7
GOPISV-26-10-2027,99.9,99.75,99.75,99.75,99.75,99.35,0,99.7,99.74
GOPISF-16-11-2027,87.5,86.15,89.2,88,95,97,0,97,91.34
GOPISV-26-06-2028,100,99.9,100,99.9,100.1,100,0,100,99.98
GOPISF-20-09-2028,100,100.1,101.28,100,100,100,0,100,100.02
