10:02 04FEB22    GOP Ijarah Sukuk Revaluation          PK99999            PKISRV,,,,,,,,,,
GOP IJARAH SUKUK:- <0#PKISRV=>                                                  ,,,,,,,,,,
,,,,,,,,,,
                 ,  BMA, C&M, CMK,  IONE,  JSCM, MCP,  SCPL, VCPL  ,Avg Rate,
,,,,,,,,,,
GOPIS 30-04-2025 ,96.50,96.40,96.40,0.00,96.40,96.50,99.50,96.43,96.45,
GOPIS 29-05-2025 ,100.20,100.20,100.20,0.00,100.20,100.20,100.00,100.20,100.20,
GOPIS 24-06-2025 ,100.10,100.10,100.10,0.00,100.00,100.10,100.10,100.10,100.10,
GOPISV-29-07-2025,100.30,100.20,100.15,0.00,100.30,100.30,99.75,100.12,100.21,
GOPISF-29-07-2025,96.00,96.00,96.00,0.00,95.75,96.00,96.00,96.00,96.00,
GOPISV-09-12-2025,100.60,100.50,100.50,0.00,100.60,100.50,100.50,100.50,100.52,
GOPISF-20-01-2026,97.00,97.00,97.00,0.00,97.00,97.00,97.00,97.00,97.00,
GOPISV-06-10-2026,99.40,99.30,99.30,0.00,99.20,99.40,99.40,99.30,99.34,
GOPISF-06-10-2026,98.00,98.00,98.00,0.00,98.00,98.00,98.25,98.00,98.00,
GOPISV-29-10-2026,99.35,99.35,99.40,0.00,99.35,99.35,99.40,99.35,99.36,
GOPISF-15-12-2026,102.50,102.40,102.40,0.00,102.20,102.25,102.75,102.50,102.41,
