10:09 25SEP23    GOP Ijarah Sukuk Revaluation          PK99999            PKISRV,,,,,,,,,,,
GOP IJARAH SUKUK:- <0#PKISRV=>         <PKNOTES>                Contd..<PKISRV1>,,,,,,,,,,,
,,,,,,,,,,,
                 ,  AHL, ALF, BCA,  BMA ,  C&M ,CEL ,  CMKA, MCPL  ,Avg Rate,,
,,,,,,,,,,,
GOPISV-20-02-2024,100.00,100.50,99.60,100.00,98.70,0.00,99.90,98.70,99.64,,
GOPISF-20-02-2024,98.00,98.00,98.00,98.00,98.00,0.00,98.10,98.00,98.00,,
GOPISV-08-03-2024,101.40,101.30,101.40,101.35,101.50,0.00,101.40,101.50,101.41,,
GOPISF-08-03-2024,100.20,100.25,100.20,100.25,100.20,0.00,99.25,100.25,100.23,,
GOPISV-17-04-2024,100.60,100.70,100.75,100.65,100.70,0.00,100.75,100.70,100.71,,
GOPISF-17-04-2024,100.10,100.10,100.10,100.10,100.10,0.00,99.30,100.10,100.10,,
GOPISV-22-05-2024,100.50,100.50,100.30,100.50,100.30,0.00,100.00,100.05,100.33,,
GOPISF-22-05-2024,100.00,100.00,100.00,100.00,100.00,0.00,99.30,100.00,100.00,,
GOPISV-26-06-2024,100.10,100.00,100.00,100.10,100.20,0.00,99.10,99.90,100.02,,
GOPISF-26-06-2024,100.30,100.35,100.20,100.30,100.00,0.00,100.00,100.00,100.16,,
GOPISV-12-07-2024,100.40,100.30,100.30,100.50,100.20,0.00,100.10,100.10,100.26,,
GOPISF-12-07-2024,100.00,100.00,100.00,100.00,100.00,0.00,99.90,100.00,100.00,,
GOPISV-07-08-2024,100.70,100.75,100.60,100.65,100.70,0.00,100.70,100.55,100.68,,
GOPISF-07-08-2024,100.00,100.00,100.00,100.00,100.00,0.00,99.60,100.00,100.00,,
GOPISV-20-09-2024,100.00,100.00,99.90,100.00,100.00,0.00,99.99,100.00,100.00,,
GOPISF-20-09-2024,100.00,100.00,100.00,100.00,100.00,0.00,100.00,100.00,100.00,,
GOPISV-30-04-2025,96.50,96.40,96.45,96.45,96.45,0.00,97.75,96.45,96.46,,
GOPISV-29-05-2025,99.40,99.40,99.40,99.40,99.40,0.00,99.15,99.40,99.40,,
GOPISV-24-06-2025,99.20,99.15,99.10,99.15,99.10,0.00,99.15,99.10,99.13,,
GOPISV-29-07-2025,99.50,99.45,99.45,99.45,99.45,0.00,100.05,99.45,99.46,,
GOPISF-29-07-2025,85.60,85.70,85.70,85.75,85.70,0.00,80.75,85.75,85.69,,
GOPISV-09-12-2025,99.70,99.70,99.70,99.70,99.70,0.00,99.00,99.70,99.70,,
GOPISV-05-01-2026,99.00,99.00,99.00,99.00,99.00,0.00,98.00,99.00,99.00,,
GOPISF-20-01-2026,87.75,88.00,88.00,88.00,88.00,0.00,82.25,88.00,87.95,,
GOPISF-17-04-2026,100.00,100.00,100.00,100.00,100.00,0.00,98.00,100.00,100.00,,
GOPISF-26-06-2026,98.85,98.85,98.90,98.85,98.90,0.00,98.50,99.90,98.87,,
GOPISV-12-07-2026,100.00,100.00,100.00,100.00,100.00,0.00,100.05,100.00,100.00,,
GOPISV-06-10-2026,99.40,99.35,99.45,99.45,99.40,0.00,98.90,99.45,99.41,,
GOPISF-06-10-2026,88.75,89.00,89.00,89.00,89.00,0.00,79.00,89.00,88.95,,
GOPISV-29-10-2026,99.20,99.25,99.25,99.25,99.20,0.00,98.90,99.25,99.23,,
GOPISF-15-12-2026,90.00,90.00,90.00,90.25,90.10,0.00,87.50,90.25,90.07,,
GOPISV-27-04-2027,99.50,99.35,99.35,99.35,99.35,0.00,99.25,92.35,99.33,,
GOPISF-27-04-2027,92.35,92.35,92.35,92.35,92.35,0.00,89.00,99.40,92.35,,
GOPISV-26-10-2027,99.90,99.80,99.75,99.70,99.75,0.00,99.25,99.70,99.74,,
GOPISV-16-11-2027,97.30,97.00,97.00,97.00,97.00,0.00,88.00,97.00,97.00,,
GOPISV-26-06-2028,100.00,99.90,100.00,99.90,100.00,0.00,101.00,99.90,99.96,,
GOPISV-20-09-2028,100.00,100.00,100.00,100.00,100.00,0.00,100.00,99.90,100.00,,
                 ,      ,      ,       ,       ,      ,       ,       ,      ,       ,,
                 ,      ,      ,       ,       ,      ,       ,       ,      ,       ,,
                 ,      ,      ,       ,       ,      ,       ,       ,      ,       ,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
