GOP Ijarah Sukuk Fixing,,,,,,,,,
GOP Ijarah Sukuk Rates,,,,,,,,,
Updated at 16:25:00 Dated 2022-01-25,,,,,,,,,
,,,,,,,,,
User,BMA,C&M,CMKA,IONE,JSCM,MCPL,SCPL,VCPL,Fma
GOPIS-20-30-04-2025,96.50,96.50,96.50,96.00,96.50,96.50,96.00,96.00,96.33
GOPIS-21-29-05-2025,100.20,100.20,100.20,100.25,100.20,100.20,99.95,100.10,100.18
GOPIS-22-24-06-2025,100.20,100.15,100.15,99.90,100.00,100.10,100.35,100.10,100.12
GOPIS-VRR-29-07-2025,100.00,100.00,100.00,100.10,100.10,99.80,99.95,99.80,99.98
GOPIS-FRR-29-07-2025,96.00,96.00,96.00,95.75,95.75,96.00,96.00,96.00,95.96
GOPIS-VRR-09-12-2025,100.20,100.20,100.20,100.15,100.30,100.25,100.30,100.10,100.22
GOPIS-FRR-20-01-2026,97.00,97.00,97.00,96.75,97.00,97.00,97.00,96.85,96.98
GOPIS-VRR-06-10-2026,99.15,99.10,99.10,99.15,99.10,99.40,99.15,99.00,99.13
GOPIS-FRR-06-10-2026,97.80,97.80,97.80,97.75,98.00,98.00,97.75,97.75,97.82
GOPIS-VRR-29-10-2026,99.40,99.40,99.40,99.30,99.35,99.52,99.35,99.35,99.38
GOPIS-FRR-15-12-2026,101.50,101.40,101.40,101.50,101.50,101.50,101.00,101.75,101.47
