GOP Ijarah Sukuk Fixing,,,,,,,,,
GOP Ijarah Sukuk Rates,,,,,,,,,
Updated at 14:05:00 Dated 2022-04-20,,,,,,,,,
,,,,,,,,,
User,BMA,C&M,CMKA,IONE,JSCM,MCPL,SCPL,VCPL,Fma
Name,Natiq Shakeel,Muhammad Tariq,Fahad Siddiq,AliKazmi,Tariq Usman Bhatti,Kalim Anwer,Adnan Latif Khan,Muhammad Tariq,Fma
GOPIS-20-30-04-2025,96.20,96.20,96.20,96.20,97.25,96.20,96.60,96.20,96.27
GOPIS-21-29-05-2025,100.20,100.20,100.20,100.20,99.85,100.20,100.00,100.20,100.17
GOPIS-22-24-06-2025,100.05,100.05,100.10,100.05,99.88,100.05,100.00,100.00,100.03
GOPIS-VRR-29-07-2025,99.90,99.90,99.96,99.80,99.80,99.90,99.90,99.90,99.88
GOPIS-FRR-29-07-2025,95.00,94.50,95.00,94.50,94.50,95.50,94.75,94.75,94.75
GOPIS-VRR-09-12-2025,100.10,99.90,100.20,99.95,99.80,100.15,99.75,99.95,99.98
GOPIS-FRR-20-01-2026,95.00,94.50,94.00,95.00,95.25,95.00,94.00,94.50,94.67
GOPIS-VRR-06-10-2026,100.10,100.00,100.00,100.15,100.25,100.00,100.00,100.00,100.04
GOPIS-FRR-06-10-2026,94.50,94.60,94.00,94.50,94.75,94.50,94.50,94.50,94.52
GOPIS-VRR-29-10-2026,100.00,100.01,100.10,100.00,100.01,100.00,100.00,100.00,100.00
GOPIS-FRR-15-12-2026,100.00,99.80,99.85,99.95,99.90,99.90,100.00,99.95,99.93
