FMA Code,SBP Code,Price,Change
GOPIS-20-30-04-2025,GIS (VRR) -18,100.84,0.02
GOPIS-21-29-05-2025,GIS (VRR) -19,100.97,0.00
GOPIS-22-24-06-2025,GIS (VRR) -20,101.08,0.00
GOPIS-23-29-07-2025,GIS (VRR) -21,102.43,-0.02
GOPIS-24-29-07-2025,GIS (FRR) -04,97.84,0.00
GOPIS-25-09-12-2025,GIS (VRR) -22,101.02,0.00
GOPIS-26-20-01-2026,GIS (FRR) -07,95.38,0.00
GOPIS-27-06-10-2026,GIS (FRR) -08,95.06,0.00
GOPIS-28-06-10-2026,GIS (VRR) -23,101.98,0.00
GOPIS-29-29-10-2026,GIS (VRR) -24,102.41,0.00
GOPIS-30-15-12-2026,GIS (FRR) -11,100.73,0.17
GOPIS-31-27-04-2027,GIS (VRR) -25,103.03,0.05
GOPIS-32-27-04-2027,GIS (FRR) -12,100.72,0.00
GOPIS-33-26-10-2027,GIS (VRR) - 26,102.88,0.01
GOPIS-34-16-11-2027,GIS (FRR) - 14,99.54,0.00
GOPIS-35-05-01-2026,GIS (VRR) - 27,100.97,-0.01
GOPIS-43-17-04-2026,GIS (FRR) - 21,107.48,-0.01
GOPIS-48-26-06-2026,GIS (FRR) - 24,109.23,-0.01
GOPIS-54-12-07-2026,GIS (VRR) - 36,102.66,0.00
GOPIS-55-26-06-2028,GIS (VRR) - 34,105.92,0.00
GOPIS-61-20-09-2028,GIS (FRR) - 31,110.01,0.00
GOPIS-65-04-12-2026,GIS (VRR) - 41,102.21,0.00
GOPIS-66-04-12-2028,GIS (VRR) - 42,103.91,-0.01
GOPIS-67-04-12-2026,GIS (FRR) - 33,106.67,0.00
GOPIS-68-04-12-2028,GIS (FRR) - 34,109.22,0.00
