11/08/2023 10:08,GOP Ija,rah Suku,k Reval,uation,,PK99,999,,PKISRV
,,,,,,,,,
GOP IJARAH SUKUK:,- <0#PK,ISRV=>,,<PKNOTE,S>,,Con,td..<P,KISRV1>
,AHL,ALFA,BCAP,BMA,C&M,CEL,CMKA  M,CPL  A,vg Rate
=================,=======,========,=======,=======,=======,======,========,======,======
GOPISV-20-02-2024,99,98.7,98.7,0,98.7,98.7,98.7,98.7,98.7
GOPISF-20-02-2024,98,98,98,0,98,98,98,98,98
GOPISV-08-03-2024,100.1,100.1,100.1,0,100.1,100.1,100.1,100.1,100.1
GOPISF-08-03-2024,100.25,100.2,100.2,0,100.25,100.25,100.2,100.25,100.23
GOPISV-17-04-2024,100.05,100.05,100.05,0,100.05,100.08,100.05,100.05,100.05
GOPISF-17-04-2024,100.1,100.1,100.1,0,100.1,100.1,100.1,100.1,100.1
GOPISV-22-05-2024,100,100.05,100.05,0,100.05,100,100.05,100.05,100.04
GOPISF-22-05-2024,100,100,100,0,100,100,100,100,100
GOPISV-26-06-2024,100,99.95,99.9,0,100,100,100,100,99.99
GOPISF-26-06-2024,100.05,100,100,0,99.9,100,99.95,99.9,99.97
GOPISV-12-07-2024,100.1,100.1,100.05,0,100.1,100,100.1,100.1,100.09
GOPISF-12-07-2024,100,100,100,0,100,100,100,100,100
GOPISV-07-08-2024,100.25,100.2,100.2,0,100.2,100.3,100.2,100.2,100.21
GOPISF-07-08-2024,99.9,100,100,0,100,100,100,100,100
GOPISV-30-04-2025,96.3,96.4,96.4,0,96.45,96.5,96.4,96.45,96.42
GOPISV-29-05-2025,99.4,99.4,99.4,0,99.4,99.4,99.4,99.4,99.4
GOPISV-24-06-2025,99.2,99.15,99.1,0,99.1,99,99.1,99.1,99.11
GOPISV-29-07-2025,99.6,99.45,99.4,0,99.45,99.4,99.6,99.6,99.5
GOPISF-29-07-2025,85.5,85.7,85.7,0,85.7,85.75,85.7,85.75,85.71
GOPISV-09-12-2025,99.7,99.7,99.7,0,99.7,99.75,99.7,99.7,99.7
GOPISV-05-01-2026,99,99,99,0,99,99,99,99,99
GOPISF-20-01-2026,86.5,88,88,0,88,88,88,88,88
GOPISF-17-04-2026,100,100,100,0,100,100,100,100,100
GOPISF-26-06-2026,98.83,99.9,99.6,0,99.9,100,99.9,99.9,99.84
GOPISV-12-07-2026,100,100,100,0,100,100,100,100,100
GOPISV-06-10-2026,99.35,99.35,99.45,0,99.45,99.5,99.45,99.45,99.43
GOPISF-06-10-2026,86.5,89,89,0,89,89,89,89,89
GOPISV-29-10-2026,99.2,99.25,99.25,0,99.2,99.15,99.25,99.25,99.23
GOPISF-15-12-2026,89.75,90,90,0,90,90.25,90,90.25,90.05
GOPISF-27-04-2027,92.1,92.35,92.35,0,92.35,92.35,92.35,92.35,92.35
GOPISV-27-04-2027,99.4,99.35,99.35,0,99.35,99.45,99.35,99.5,99.38
GOPISV-26-10-2027,99.9,99.5,99.75,0,99.75,99.6,99.75,99.7,99.71
GOPISF-16-11-2027,97.4,97,97,0,97,97,97,97,97
GOPISV-26-06-2028,100,99.9,99.9,0,99.9,100,99.95,99.9,99.93
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
11/08/2023 17:12,: PKISR,V for us,er reut,ers at,REUTERS,,,,
[Printed by Refin,itiv Ei,kon],,,,,,P,age : 1
