, GOP IJARAH SUKUK REVALUATION                                                   ,,,,,,,,,
 ,22-May-24,PK99999            PKISRV,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
DSPLY_NAME,MATUR_DATE,PRIMACT_1,PRIMACT_1,PRIMACT_1,PRIMACT_1,PRIMACT_1,PRIMACT_1,PRIMACT_1,PRIMACT_1,PRIMACT_1
SECURITY,MATURITY,AHL,ALFA,BCAP,BMA,C&M,CEL,CMKA,MCPK,AVG. RATE
,,,,,,,,,,
,,,,,,,,,,
GOPIS-VRR,22-May-24, 100.10 , 100.00 , 99.98 , 99.95 , -   , 99.98 , 99.95 , 99.95 , 99.97 
GOPIS-FRR,22-May-24, 99.97 , 100.00 , 99.97 , 100.00 , -   , 100.00 , 100.00 , 100.00 , 99.99 
GOPIS-VRR,26-Jun-24, 99.95 , 99.95 , 99.95 , 99.93 , -   , 99.95 , 99.95 , 99.95 , 99.95 
GOPIS-FRR,26-Jun-24, 100.70 , 100.20 , 100.20 , 100.30 , -   , 100.02 , 100.25 , 100.30 , 100.25 
GOPIS-VRR,12-Jul-24, 100.20 , 99.96 , 100.05 , 100.05 , -   , 100.03 , 100.05 , 100.05 , 100.05 
GOPIS-FRR,12-Jul-24, 100.00 , 100.00 , 100.05 , 100.05 , -   , 100.03 , 100.05 , 100.05 , 100.04 
GOPIS-VRR,7-Aug-24, 100.00 , 99.95 , 99.95 , 99.90 , -   , 99.90 , 99.90 , 99.95 , 99.93 
GOPIS-FRR,7-Aug-24, 100.00 , 100.00 , 100.00 , 100.00 , -   , 100.00 , 100.00 , 100.00 , 100.00 
GOPIS-VRR,20-Sep-24, 100.00 , 98.50 , 100.00 , 100.00 , -   , 100.00 , 100.00 , 100.00 , 100.00 
GOPIS-FRR,20-Sep-24, 100.00 , 100.75 , 100.40 , 100.40 , -   , 100.25 , 100.35 , 100.35 , 100.35 
GOPIS-VRR,9-Oct-24, 100.25 , 100.00 , 100.04 , 100.20 , -   , 99.95 , 100.00 , 100.25 , 100.10 
GOPIS-FRR,9-Oct-24, 100.75 , 100.50 , 100.75 , 100.75 , -   , 100.55 , 100.70 , 100.75 , 100.70 
GOPIS-VRR,4-Dec-24, 99.95 , 99.90 , 99.85 , 100.00 , -   , 99.90 , 99.80 , 99.90 , 99.90 
GOPIS-VRR,30-Apr-25, 98.90 , 99.50 , 99.30 , 99.40 , -   , 99.00 , 99.00 , 99.50 , 99.24 
GOPIS-VRR,29-May-25, 99.35 , 99.75 , 99.50 , 99.50 , -   , 99.50 , 99.50 , 99.40 , 99.48 
GOPIS-VRR,24-Jun-25, 99.20 , 99.65 , 99.75 , 99.80 , -   , 99.80 , 99.80 , 99.80 , 99.76 
GOPIS-VRR,29-Jul-25, 101.00 , 99.50 , 99.95 , 99.90 , -   , 99.90 , 99.80 , 99.90 , 99.89 
GOPIS-FRR,29-Jul-25, 83.02 , 89.00 , 84.00 , 84.00 , -   , 85.35 , 84.00 , 84.00 , 84.27 
GOPIS-VRR,9-Dec-25, 101.00 , 99.60 , 100.90 , 100.90 , -   , 100.85 , 100.90 , 100.90 , 100.89 
GOPIS-VRR,5-Jan-26, 99.00 , 99.50 , 99.00 , 99.00 , -   , 99.00 , 99.75 , 99.00 , 99.10 
GOPIS-FRR,20-Jan-26, 83.00 , 85.00 , 84.00 , 84.00 , -   , 84.00 , 84.00 , 84.00 , 84.00 
GOPIS-FRR,17-Apr-26, 98.50 , 100.50 , 100.45 , 100.50 , -   , 100.50 , 100.50 , 100.50 , 100.49 
GOPIS-FRR,26-Jun-26, 103.20 , 103.00 , 103.00 , 103.00 , -   , 103.00 , 103.00 , 103.00 , 103.00 
GOPIS-VRR,12-Jul-26, 100.00 , 100.50 , 100.00 , 100.00 , -   , 100.00 , 100.55 , 100.00 , 100.10 
GOPIS-VRR,6-Oct-26, 101.00 , 100.00 , 100.90 , 100.75 , -   , 100.40 , 100.00 , 100.90 , 100.59 
GOPIS-FRR,6-Oct-26, 83.00 , 84.00 , 84.00 , 84.00 , -   , 84.00 , 84.00 , 84.00 , 84.00 
GOPIS-VRR,29-Oct-26, 101.20 , 100.10 , 100.80 , 100.25 , -   , 100.30 , 99.90 , 100.25 , 100.34 
GOPIS-VRR,4-Dec-26, 99.65 , 99.80 , 99.60 , 99.60 , -   , 99.50 , 99.60 , 99.60 , 99.61 
