GOP Ijarah Sukuk Fixing,,,,,,,,,
GOP Ijarah Sukuk Rates,,,,,,,,,
Updated at 14:55:00 Dated 2022-04-11,,,,,,,,,
,,,,,,,,,
User,BMA,C&M,CMKA,IONE,JSCM,MCPL,SCPL,VCPL,Fma
GOPIS-20-30-04-2025,96.20,96.20,96.20,0.00,96.25,96.20,0.00,96.20,96.21
GOPIS-21-29-05-2025,100.20,100.20,100.20,0.00,100.00,100.20,0.00,100.00,100.13
GOPIS-22-24-06-2025,100.05,100.05,100.05,0.00,99.80,100.05,0.00,100.05,100.01
GOPIS-VRR-29-07-2025,99.90,99.90,99.96,0.00,99.75,99.90,0.00,99.85,99.88
GOPIS-FRR-29-07-2025,95.75,94.00,95.00,0.00,94.00,95.75,0.00,95.00,94.92
GOPIS-VRR-09-12-2025,100.20,100.15,100.15,0.00,100.00,100.15,0.00,100.10,100.13
GOPIS-FRR-20-01-2026,95.00,94.50,94.00,0.00,94.50,95.00,0.00,95.00,94.67
GOPIS-VRR-06-10-2026,100.10,100.00,100.00,0.00,100.75,100.00,0.00,100.10,100.16
GOPIS-FRR-06-10-2026,95.00,94.60,94.00,0.00,94.50,94.15,0.00,95.00,94.54
GOPIS-VRR-29-10-2026,100.00,100.00,99.90,0.00,100.00,100.00,0.00,100.00,99.98
GOPIS-FRR-15-12-2026,99.50,99.80,99.80,0.00,100.00,99.00,0.00,100.00,99.68
